customer_id,name,birthday_month,avg_other_month_spend,birthday_month_spend,visits_bday_month,visits_other_avg,used_discount,notes
C006,רינת,מרץ,210,840,11,4.2,כן,"מביאה חברים, מנצלת את ההנחה במלואה"
C001,אורי,ספטמבר,880,920,29,27.5,לא,"בא יומיומי בלי קשר, לא טרח לבקש הנחה"
C002,דוד,יוני,640,780,17,16,כן,"השתמש פעמיים, פגישות עבודה"
C003,שירה,פברואר,280,520,6,3.5,כן,"חגגה אצלנו, הביאה 4 חברות"
C004,דניאל,נובמבר,260,280,4,3.8,לא,לא ידע שיש הנחה
C005,ארנון,אפריל,180,195,10,9.8,כן,"השתמש בהנחה, אבל גם התלונן על השוקו"
C007,יעל,אוקטובר,420,660,14,11.5,כן,הזמינה לארוחת בוקר עם משפחה
C010,רועי,מאי,520,580,21,19,לא,"שכח להציג, גילה בסוף החודש"
C012,אלון,ינואר,340,350,14,13.5,לא,לא מעוניין בהנחות לדבריו
C014,גיא,יולי,480,890,12,8.8,כן,"חגג כאן, חברים שלו הפכו לקבועים"
C008,אסף,דצמבר,230,470,7,4,כן,"השתמש בהנחה, חגג עם משפחה"
C011,תמר,אוגוסט,180,190,6,5.5,לא,לא ידעה
C103,דנה,מרץ,380,410,10,9.8,כן,הריון — לא חגגה אצלנו
C112,לימור,מאי,290,85,2,7,לא,דועכת — לא הגיעה ביום ההולדת
C122,אופיר,פברואר,340,380,11,10,כן,השתמש פעם אחת
