date,time,customer,staff_present,complaint_about,severity_1to5,resolution,time_to_resolve_minutes
2026-01-08,09:15,ארנון,דני,שוקו לא מספיק חם,3,"החלפנו, ניתן קרואסון חינם",8
2026-01-15,16:30,ארנון,טל,חלב השקדים לא חלב שקדים שביקשתי,4,החלפנו את כל המשקה,6
2026-01-22,16:45,ארנון,דני,שירות איטי,2,התנצלות,3
2026-02-05,16:20,ארנון,טל,עוגיה ישנה,3,"החלפנו, התנצלות",4
2026-02-19,17:00,ארנון,דני,המוזיקה רועשת מדי,2,הנמכנו,2
2026-03-04,16:30,ארנון,מיכל,"שוקו חם מדי, אמרתי פושר",4,"החלפנו, מנהל ניגש",10
2026-03-18,16:45,ארנון,דני,החיוב שגוי,3,"תיקנו, החזרנו לכרטיס",15
2026-04-02,16:30,ארנון,טל,"הזמין שוקו, קיבל קפה",3,החלפנו,5
2026-04-23,16:30,ארנון,דני,שירות לא חברותי,4,"מנהל ניגש, התנצלות",12
2026-05-14,16:30,ארנון,מיכל,המקום עמוס מדי,2,ניסינו למצוא שולחן שקט,3
2026-01-12,08:30,אורי,דני,ההפוך לא כמו תמיד,2,הכנו חדש,4
2026-02-14,09:00,שירה,טל,הפנקייק קר,3,"הכנו חדש, מאצ'ה חינם",10
2026-02-26,10:30,לא ידוע,דני,חיכיתי 20 דק' להזמנה,4,"התנצלות, ארוחה על חשבוננו",22
2026-03-07,14:00,לא ידוע,דני,אין מקומות חניה,1,הסברנו שזה לא בשליטתנו,1
2026-03-15,12:00,דוד,דני,הזמנה לא נכונה לפגישה,4,"תיקנו מהר, התנצלות",8
2026-03-22,08:45,יעל,טל,הקפה חמוץ,3,הכנו חדש,5
2026-04-10,13:30,לא ידוע,דני,"שירות מאוד איטי, דני נעלם",5,"מנהל ניגש, ארוחה חינם",35
2026-04-15,11:00,תמר,טל,"טעות בכרטיס אשראי, חיובים כפולים",4,"תיקנו, התנצלנו",25
2026-04-28,19:30,גיא,דני,הבירה לא קרה,3,החלפנו,4
2026-05-02,09:30,אורי,דני,"ההפוך לא טעים, השני ברציפות",3,"הוחלף, התנצלות",6
2026-05-09,10:15,לא ידוע,דני,שירותים מלוכלכים,4,ניקינו מיד,7
2026-05-18,08:00,רועי,דני,"דני בכלל לא היה, נועה לבד",4,"התנצלות מנועה, מאפה חינם",2
2026-05-25,14:30,אסף,מיכל,המנה נראית קטנה ממה שהיתה,2,הוספנו לחם,3
