date,time,party_size,contact,no_show_reason
2026-01-17,19:00,12,050-1234567 (מאיר),לא ידוע — לא ענו לטלפון
2026-01-31,20:00,8,052-9876543 (תמר),"חולים בקבוצה, התקשרה באיחור"
2026-02-07,19:30,15,054-1112233 (אסף - חברה),אירוע בוטל ביום אירוע — מזג אוויר
2026-02-21,18:00,10,050-4445566 (יום הולדת לדנה),בחרו מקום אחר — לא הודיעו
2026-03-05,20:30,6,053-7778899 (פגישת עבודה),לא ידוע
2026-03-14,19:00,20,050-3334455 (בר מצווה משפחת לוי),אבל במשפחה
2026-03-21,18:30,14,"054-6667788 (רעות, פגישת חברות)",לא ידוע
2026-04-04,20:00,9,050-2223344 (יוסי),שכחו את ההזמנה
2026-04-11,19:00,12,052-5556677 (אירוסין נופר),שינוי בית הקפה ברגע האחרון
2026-04-18,21:00,7,053-8889900 (חבר'ה מהעבודה),לא ידוע
2026-04-25,19:30,18,050-1112233 (כנס פנימי חברה),חוסר תיאום בחברה — בוטל פנימית
2026-05-02,18:00,11,054-2223344 (חוג מוזיקה),מורה חולה
2026-05-09,20:00,8,050-3334466 (פגישת ספר),לא ידוע — לא ענו
2026-05-16,19:30,13,053-4445577 (מסיבת רווקות),"איחרו ב-3 שעות, הגיעו ל-2 משקאות"
2026-05-23,18:30,10,052-5556688 (פגישת בוגרים),לא ידוע
