customer_id,name,item,order_count,pct_of_orders
C001,אורי,הפוך גדול,142,68%
C001,אורי,קרואסון חמאה,98,47%
C001,אורי,מים מינרליים,34,16%
C001,אורי,כריך גבינה צהובה,18,9%
C002,דוד,אספרסו כפול,76,82%
C002,דוד,סלט יווני,41,44%
C002,דוד,מאפה בורקס,29,31%
C002,דוד,מים בקבוק גדול,52,56%
C002,דוד,מאצ'ה לאטה,12,13%
C003,שירה,שייק פירות יער,31,71%
C003,שירה,פנקייק בננה,22,50%
C003,שירה,קפוצ'ינו,18,41%
C004,דניאל,שקשוקה,28,64%
C004,דניאל,הפוך,31,70%
C004,דניאל,מיץ סחוט,14,32%
C005,ארנון,"שוקו חם (חלב שקדים, פושר)",47,91%
C005,ארנון,עוגיית שיבולת שועל,21,41%
C005,ארנון,תה ירוק,6,12%
C006,רינת,עוגת גבינה,18,60%
C006,רינת,הפוך מנטה,14,47%
C006,רינת,לימונענע,8,27%
C007,יעל,אמריקנו,29,81%
C007,יעל,כריך טונה,16,44%
C010,רועי,הפוך,63,79%
C010,רועי,מאפה שוקולד,24,30%
C010,רועי,מים,18,23%
C012,אלון,קפה שחור,42,95%
C012,אלון,קרואסון שקדים,11,25%
C014,גיא,בירה (חבית),22,71%
C014,גיא,צ'יפס,15,48%
