customer_id,name,visits_per_week_avg,peak_day,peak_hour,last_30_days_visits
C001,אורי,6.5,שני,08:00,22
C002,דוד,4.0,שלישי,10:00,18
C003,שירה,1.8,שישי,09:30,8
C004,דניאל,1.8,שישי,09:30,8
C005,ארנון,2.5,רביעי,16:00,10
C006,רינת,1.2,חמישי,11:00,5
C007,יעל,3.0,שני,07:30,12
C008,אסף,2.0,חמישי,13:00,9
C009,מאיה,0.5,שישי,10:00,2
C010,רועי,5.0,רביעי,08:30,21
C011,תמר,1.5,שלישי,14:00,6
C012,אלון,3.5,שני,09:00,14
C013,נטע,0.8,שישי,11:30,3
C014,גיא,2.2,חמישי,17:00,10
C015,ליאת,1.0,רביעי,10:30,4
C100,יוסי,3.7,חמישי,19:00,16
C101,רונית,4.2,שישי,11:00,15
C102,דנה,1.4,שלישי,12:30,3
C103,אורן,1.0,שני,16:30,2
C104,סיגל,0.8,שישי,07:00,5
C105,אביב,1.1,רביעי,14:30,3
C106,הילה,1.8,שישי,12:00,5
C107,עומר,0.9,חמישי,07:00,3
C108,שני,2.1,רביעי,14:30,9
C109,ניר,1.4,חמישי,08:30,6
C110,אדם,0.7,שישי,17:30,4
C111,לימור,3.1,ראשון,10:30,14
C112,נועם,0.4,שני,11:00,0
C113,אביגיל,3.5,שלישי,12:00,12
C114,יואב,2.3,רביעי,09:00,10
C115,קרן,2.5,שני,15:30,8
C116,אסי,1.9,שישי,07:30,5
C117,ענת,2.2,ראשון,12:30,10
C118,רן,1.9,שישי,13:30,5
C119,עידן,1.9,שלישי,09:30,7
C120,מירב,0.6,ראשון,10:30,4
C121,אופיר,1.9,ראשון,13:30,7
C122,טליה,1.2,שני,08:00,6
C123,אורי,2.4,שלישי,12:00,8
C124,אלה,0.6,שלישי,10:00,4
C125,נעמי,0.9,שישי,08:00,4
C126,בועז,2.2,חמישי,19:30,10
C127,גלית,3.0,חמישי,12:30,11
C128,אורן,2.1,רביעי,14:30,8
C129,חני,2.7,שלישי,15:00,10
C130,אביה,2.2,ראשון,07:30,8
C131,מתן,0.5,ראשון,16:30,3
C132,שרון,2.7,שישי,07:30,12
C133,דוריס,3.0,שלישי,16:30,14
C134,אמיר,0.8,ראשון,14:00,3
