original_employee,replacement,date,day,reason,approved_by
מיכל,נועה,2026-01-03,שבת,אירוע משפחתי,אביץ
דני,טל,2026-01-08,חמישי,מילואים (יום אחד),אביץ
דני,מיכל,2026-01-10,שבת,לא ציין סיבה,אביץ
דני,נועה,2026-01-16,שישי,בעיה ברכב,מיכל (משמרת)
דני,מיכל,2026-01-19,שני,מילואים (יום אחד),אביץ
טל,מיכל,2026-01-19,שני,תור לרופא,אביץ
דני,טל,2026-01-23,שישי,תור לרופא,אביץ
טל,נועה,2026-01-24,שבת,מחלה,אביץ
דני,נועה,2026-01-29,חמישי,תור לרופא,אביץ
דני,טל,2026-02-05,חמישי,תור לרופא,אביץ
דני,מיכל,2026-02-09,שני,בעיה ברכב,מיכל (משמרת)
דני,נועה,2026-02-11,רביעי,אירוע משפחתי,אביץ
דני,נועה,2026-02-18,רביעי,לא מרגיש טוב,אביץ
דני,נועה,2026-02-23,שני,חתונה של חבר,אביץ
דני,נועה,2026-02-28,שבת,מילואים (יום אחד),אביץ
טל,מיכל,2026-03-04,רביעי,תור לרופא,אביץ
דני,מיכל,2026-03-07,שבת,לא ציין סיבה,מיכל (משמרת)
דני,מיכל,2026-03-12,חמישי,אירוע משפחתי,אביץ
דני,מיכל,2026-03-17,שלישי,סידור בבנק,אביץ
טל,דני,2026-03-20,שישי,תור לרופא,אביץ
דני,מיכל,2026-03-22,ראשון,לימודים,אביץ
דני,נועה,2026-03-24,שלישי,תור לרופא,אביץ
דני,נועה,2026-03-27,שישי,מילואים (יום אחד),מיכל (משמרת)
דני,טל,2026-04-01,רביעי,לא ציין סיבה,מיכל (משמרת)
דני,נועה,2026-04-06,שני,סידור בבנק,אביץ
מיכל,דני,2026-04-08,רביעי,מחלה,אביץ
טל,מיכל,2026-04-12,ראשון,תור לרופא,אביץ
דני,נועה,2026-04-13,שני,לא ציין סיבה,אביץ
דני,נועה,2026-04-18,שבת,בעיה ברכב,מיכל (משמרת)
דני,מיכל,2026-04-22,רביעי,סידור בבנק,מיכל (משמרת)
דני,נועה,2026-04-29,רביעי,סידור בבנק,מיכל (משמרת)
דני,נועה,2026-05-06,רביעי,תור לרופא,מיכל (משמרת)
מיכל,נועה,2026-05-17,ראשון,מחלה,אביץ
