date,order_id,customer,item,qty,price,total,payment_method,server,notes
2024-10-01,10234,"רותם כהן",קפה הפוך,1,14,14,מזומן,נועם,
2024-10-01,10235,"דנה לוי",סלט יווני,1,42,42,אשראי,יוסי,"בלי בצל"
2024-10-01,10236,,קרואסון שוקולד,2,28,,אשראי,נועם,
2024-10-01,10237,"avi ?????","??? ?????",1,,,bit,,
2024-10-01,10238,"שירה",אספרסו כפול,1,13,13,מזומן,יוסי,
2024-10-02,10239,"yossi cohen",americano,1,12,12,credit,noam,
2024-10-02,10240,"מאיה",כריך טונה,1,30,30,bit,,note: "טב? צמ?"
2024-10-02,10241,??????????,?,?,?,?,?,?,?
2024-10-02,10242,"גלית",לאטה,1,15,15,מזומן,רותם,
2024-10-02,10243,"עומר",קפוצ'ינו,2,28,,אשראי,יוסי,חסר סכום סופי
2024-10-03,10244,
2024-10-03,10245,"שני","",1,,,מזומן,נועם,
2024-10-03,10246,"דוד מ.",כריך אבוקדו,1,34,34,bit,יוסי,
2024-10-03,10247,"רון","סלט קיסר",1,44,44,אשראי,רותם,"בלי גבינה"
2024-10-03,10248,"???? ???","\xd7\xa7\xd7\xa4\xd7\x94 \xd7\x94\xd7\xa4\xd7\x95\xd7\x9a",1,14,14,מזומן,,encoding issue
2024-10-03,10249,"נעם","שוקו חם",1,14,14,מזומן,יוסי,
2024-10-04,10250,"גיל",אספרסו,1,10,10,מזומן,רותם
2024-10-04,10251,,"לימונדה",1,14,14
2024-10-04,10252,"דרור","קפה הפוך גדול",1,16,16,bit,נועם,"לקח
2024-10-04,10253,"שרה",סלט קינואה,1,46,46,אשראי,יוסי,
2024-10-05,10254,"???","???",
2024-10-05,10255,
2024-10-05,10256,"מיכל",כריך גבינות,1,32,32,מזומן,יוסי,
2024-10-05,10257,"yair",cappuccino,1,14,14,credit,
2024-10-05,10258,"אורי",מוקה,1,17,17,bit,רותם,
2024-10-05,10259,"רינת","עוגת גבי
