customer_id,name,phone,birthday,discount_eligible,last_birthday_gift_year
C0166,אייל כהנא,058-3946849,01-01,no,2025
C0098,הילה ישראלי,058-3920762,01-14,no,2024
C0165,רותם ליבוביץ,053-2325761,01-18,no,2025
C0119,שני מלכה,052-9022561,01-22,yes,2024
C0073,אופק ויס,055-2425342,01-23,no,2024
C0012,נדב כץ,053-5017343,01-27,no,2023
C0070,תמר אברהם,058-3050700,02-01,no,
C0020,תהילה ביטון,050-5098412,02-02,no,2023
C0139,גילי יצחקי,050-5495824,02-02,yes,2023
C0181,בן כהנא,052-4671004,02-09,no,2024
C0155,אופק גרין,050-6885707,02-10,no,
C0120,אורה כהנא,055-8495187,02-13,no,2024
C0060,חיים פרידמן,053-7970985,02-25,no,2024
C0041,חן שמש,052-6294016,03-04,no,
C0172,עמרי יצחקי,054-9254874,03-08,no,2025
C0072,חן ענבר,053-1102438,03-10,no,2024
C0108,אביבית פלד,053-9511333,03-17,no,2024
C0096,מיכל דהן,053-8448065,03-22,no,2024
C0174,דניאלה עמר,054-6268604,03-22,yes,2025
C0097,רוני אזולאי,055-5791184,03-24,no,2025
C0157,רותם נחום,054-9188027,04-05,no,
C0025,מעיין ביטון,055-5453786,04-07,yes,2024
C0111,דור אלבז,053-5435261,04-07,yes,2024
C0112,אייל ענבר,053-5828304,05-07,no,2025
C0143,עינת עמר,054-6354241,05-14,no,
C0196,אייל ליבוביץ,050-5185752,05-16,no,2025
C0193,מאי נחום,053-7893590,06-05,no,2024
C0190,שגיא ברק,054-9767475,06-08,no,2023
C0047,שרה אזולאי,054-6407658,06-10,no,
C0018,אופק חזן,055-2140194,06-12,no,2024
C0102,תומר טוויל,052-7989166,06-20,no,2024
C0002,שירה לוי,050-4668136,07-02,yes,2025
C0029,גילי אדרי,055-4262081,07-02,yes,2025
C0044,נדב אוחיון,055-7381684,07-14,yes,2025
C0146,רון ענבר,053-8221845,07-22,yes,2024
C0032,דניאלה שפירא,055-8816912,08-01,no,2025
C0016,ניר אדרי,055-2642635,08-04,no,2024
C0185,שרה כהן,,08-11,no,2025
C0030,יהונתן סבן,058-9910914,08-15,no,2025
C0101,תומר חזן,055-9950276,08-23,no,2023
C0138,שירלי סלע,055-7655572,08-23,no,2024
C0001,אורי כהן,052-4744854,08-24,yes,2024
C0027,גיא זילברמן,054-3919694,08-27,no,2023
C0074,אמה סבן,058-9164342,09-02,yes,2024
C0153,נטע עמר,052-8672579,09-04,no,2024
C0200,טל ישראלי,058-6012883,09-07,no,2024
C0110,ליבי ישראלי,052-7884990,09-18,no,
C0129,יוסי אדרי,058-2968239,09-18,yes,2024
C0122,אריאל פלד,058-2069713,09-27,no,2024
C0134,אמה קליין,050-9425786,09-27,no,
C0184,אסתר ברק,052-6818508,10-03,no,2023
C0188,רון פרץ,058-9058573,10-12,no,2024
C0182,איתי טל,053-2216878,10-16,no,2024
C0106,אביגיל שפירא,055-4265774,10-18,no,2024
C0014,מאי בן חיים,050-1527021,10-20,no,
C0049,דניאלה טוויל,054-2477398,10-23,no,2025
C0054,אמה פישר,054-2672884,10-23,no,2024
C0100,איתי חזן,052-3164813,10-28,no,2024
C0156,כרמל הראל,052-3453557,11-01,yes,
C0071,ליאת זילברמן,055-7166651,11-02,no,2023
C0160,ארנון מלכה,052-9714828,11-05,no,2024
C0126,שחר ורדי,054-6041569,11-07,no,2024
C0082,תמר טל,055-3372774,11-11,yes,2025
C0117,נטע אטיאס,055-6501696,11-12,no,
C0118,רועי חזן,050-5388133,11-20,yes,2025
C0197,אילה פלד,054-6867997,11-20,no,2024
C0183,תומר מור,058-5941179,11-21,no,2023
C0076,רינת פלד,,11-24,no,2025
C0131,ספיר כץ,058-8005797,11-25,no,2023
C0171,אורן ברק,058-5112546,11-28,no,2025
C0083,מיה פישר,053-9158272,12-09,no,2023
C0080,יעקב דניאל,054-9411547,12-10,no,2024
C0107,אפרת ישראלי,052-4339637,12-11,yes,2025
C0050,אורה פרץ,053-8350368,12-18,no,2024
C0057,כרמל ישראלי,054-5261032,12-21,no,2023
C0170,מאי רוזן,053-6491198,12-24,yes,2024
