customer_name,date,complaint_type,severity,resolution,follow_up
שירלי סלע,2025-01-04,Wi-Fi איטי,medium,קפה חדש על חשבון הבית,התקשרנו - מרוצה
ספיר כץ,2025-01-15,איכות מאפה,medium,קפה חדש על חשבון הבית,פתר את עצמו
רחל דניאל,2025-01-18,שירות לא אדיב,low,קפה חדש על חשבון הבית,פתוח
תמר פישר,2025-01-24,זמן המתנה,low,תוקן מיידית,ביקש לדבר עם המנהל
אביגיל אוחיון,2025-02-08,טעות בהזמנה,low,התנצלות + הנחה 20%,פתר את עצמו
אלין חדד,2025-02-15,מקום ישיבה,low,החלפת המנה,לקוח חזר תוך שבוע
אורן ברק,2025-02-19,רעש,low,שיחה עם המנהל,סגור
אופק לביא,2025-02-19,רעש,low,מאפה חינם,סגור
עומר פישר,2025-03-07,חוסר במלאי,low,פיצוי בכרטיס נאמנות,סגור
לי דהן,2025-03-09,מקום ישיבה,high,שיחה עם המנהל,ביקש לדבר עם המנהל
איתן חדד,2025-03-17,איכות מאפה,low,פיצוי בכרטיס נאמנות,פתוח
חן רוזן,2025-04-03,Wi-Fi איטי,medium,קפה חדש על חשבון הבית,לא חזר
תומר חזן,2025-04-06,מיזוג,low,פיצוי בכרטיס נאמנות,התקשרנו - מרוצה
אסתר חיון,2025-04-18,שירות לא אדיב,medium,שיחה עם המנהל,התקשרנו - מרוצה
יעקב אוחיון,2025-04-23,מוזיקה חזקה מדי,medium,החלפת המנה,התקשרנו - מרוצה
מתן חיון,2025-05-13,איכות מאפה,low,מאפה חינם,לא חזר
ליאת בן דוד,2025-05-15,זמן המתנה,low,התנצלות + הנחה 20%,התקשרנו - מרוצה
לי דהן,2025-05-21,Wi-Fi איטי,low,פיצוי בכרטיס נאמנות,לא חזר
איתן ברק,2025-06-01,זמן המתנה,medium,מאפה חינם,ביקש לדבר עם המנהל
תומר ברק,2025-06-02,Wi-Fi איטי,low,תוקן מיידית,לקוח חזר תוך שבוע
דוד צדוק,2025-06-03,רעש,high,דיברנו עם השף,פתוח
דור צדוק,2025-06-10,זמן המתנה,medium,תוקן מיידית,התקשרנו - מרוצה
תומר מור,2025-06-22,טעות בהזמנה,low,החזר כספי מלא,פתר את עצמו
אביבית אזולאי,2025-06-24,טעות בהזמנה,medium,מאפה חינם,לקוח חזר תוך שבוע
רון פרץ,2025-07-01,חוסר במלאי,medium,מאפה חינם,פתוח
ליבי ישראלי,2025-07-16,טעות בהזמנה,low,התנצלות + הנחה 20%,לא חזר
עינת ישראלי,2025-07-25,מיזוג,low,שיחה עם המנהל,לא חזר
איתן חדד,2025-08-12,מחיר,medium,פיצוי בכרטיס נאמנות,פתוח
אייל ליבוביץ,2025-08-17,טעות בהזמנה,low,החלפת המנה,פתוח
עינת ישראלי,2025-08-26,טעות בהזמנה,low,מאפה חינם,התקשרנו - מרוצה
מיה פישר,2025-09-18,מיזוג,low,החזר כספי מלא,התקשרנו - מרוצה
רחל דניאל,2025-09-24,טעות בהזמנה,high,החלפת המנה,סגור
יסמין קליין,2025-09-26,איכות מאפה,low,שיחה עם המנהל,סגור
חן עמר,2025-10-11,מיזוג,low,פיצוי בכרטיס נאמנות,פתוח
אייל ענבר,2025-10-13,איכות מאפה,low,החלפת המנה,פתוח
ליבי עמר,2025-10-20,שירות לא אדיב,low,פיצוי בכרטיס נאמנות,פתר את עצמו
נועם חזן,2025-10-29,מקום ישיבה,medium,מאפה חינם,לא חזר
עמרי בן חיים,2025-10-31,טעות בהזמנה,low,פיצוי בכרטיס נאמנות,ביקש לדבר עם המנהל
עינת עמר,2025-11-17,טמפרטורת קפה,medium,קפה חדש על חשבון הבית,לא חזר
לאה ענבר,2025-11-19,מיזוג,low,שיחה עם המנהל,פתוח
רפי נחום,2025-11-19,שירות לא אדיב,low,החזר כספי מלא,התקשרנו - מרוצה
הראל יצחקי,2025-11-23,טעות בהזמנה,medium,פיצוי בכרטיס נאמנות,פתר את עצמו
משה כהן,2025-12-12,איכות מאפה,high,התנצלות + הנחה 20%,פתר את עצמו
משה כהן,2025-12-19,טעות בהזמנה,low,קפה חדש על חשבון הבית,ביקש לדבר עם המנהל
תמר ישראלי,2025-12-19,מחיר,low,החזר כספי מלא,ביקש לדבר עם המנהל
