email,name,source,subscribed_date,status,last_opened
david693@gmail.com,אורי כהן,pos,2022-06-04,unsubscribed,
hila28@walla.co.il,שירה לוי,pos,2025-04-06,active,2025-07-20
amit829@gmail.com,דניאל לוי,wifi,2022-03-17,unsubscribed,
noa981@yahoo.com,דוד אברהם,manual,2025-09-01,active,2024-10-31
shira748@icloud.com,ארנון פרץ,wifi,2025-04-22,active,2025-03-25
hila907@yahoo.com,רינת ביטון,pos,2024-03-23,active,2025-06-08
noa687@hotmail.com,בן ביטון,wifi,2025-06-11,active,2024-11-17
shira825@yahoo.com,משה ויס,wifi,2024-07-02,unsubscribed,
yossi371@walla.co.il,מאור ליבוביץ,wifi,2024-09-17,active,2025-06-03
tomer882@gmail.com,הילה סלע,manual,2023-04-20,active,2024-08-04
david892@hotmail.com,אסתר חיון,wifi,2022-03-29,active,2024-12-29
yossi688@yahoo.com,גיא קליין,event,2024-03-05,active,2025-09-24
danny527@walla.co.il,מאי בן חיים,pos,2022-03-23,active,2025-04-28
rotem101@gmail.com,עמרי דהן,event,2023-06-24,active,2025-12-10
nir981@icloud.com,איתן בן חיים,manual,2025-08-31,active,2025-06-23
yael414@gmail.com,אופק חזן,pos,2024-11-24,active,2025-02-13
rinat449@hotmail.com,תהילה ביטון,wifi,2024-11-23,active,2025-07-21
noa704@hotmail.com,רפי אורן,event,2024-09-24,active,2025-10-07
david78@gmail.com,אבי ויס,pos,2024-10-24,active,2024-10-21
yael886@gmail.com,אדם דהן,wifi,2022-06-07,active,2025-11-09
yael229@gmail.com,רינת אטיאס,wifi,2022-11-04,bounced,
danny972@yahoo.com,רחל דניאל,event,2025-05-17,active,2024-09-30
tal416@gmail.com,גיא זילברמן,manual,2023-11-08,bounced,
tal528@yahoo.com,דנה דניאל,manual,2025-10-14,unsubscribed,
yossi507@outlook.com,גילי אדרי,wifi,2025-04-24,active,2024-11-13
hila325@icloud.com,יהונתן סבן,manual,2022-02-15,bounced,
noa853@outlook.com,דניאלה שפירא,wifi,2025-03-20,active,2024-11-12
amit447@icloud.com,איתן ברק,pos,2025-03-18,active,2024-10-29
arnon888@icloud.com,אלין חדד,event,2023-01-04,active,2025-11-12
rotem42@gmail.com,נועם חזן,pos,2025-09-17,active,2025-03-18
rinat988@hotmail.com,יעקב אוחיון,wifi,2024-07-08,active,2025-09-26
guy678@yahoo.com,מורן ליבוביץ,wifi,2023-03-26,active,2025-07-26
alon607@hotmail.com,סיגל פרידמן,wifi,2025-06-30,bounced,
hila719@hotmail.com,שגיא עמר,event,2022-12-10,bounced,
nir250@hotmail.com,אבי בן חיים,event,2024-07-17,unsubscribed,
nir547@gmail.com,עמית נוי,pos,2023-04-16,active,2025-06-23
yossi504@gmail.com,לי דהן,pos,2022-02-03,active,2024-12-25
lior305@outlook.com,נדב אוחיון,manual,2022-11-03,active,2024-09-07
hila482@hotmail.com,יעקב נוי,pos,2024-12-24,active,2025-10-29
ori94@walla.co.il,שרה אזולאי,pos,2024-09-14,unsubscribed,
shai993@gmail.com,איתן ישראלי,pos,2025-10-21,bounced,
roni119@outlook.com,דניאלה טוויל,manual,2024-01-29,bounced,
shai125@gmail.com,אורה פרץ,manual,2023-04-15,active,2025-10-07
nir299@hotmail.com,בן חדד,manual,2023-12-19,unsubscribed,
omer274@gmail.com,רוני פלד,pos,2024-05-21,active,2024-10-16
guy45@yahoo.com,ליבי עמר,wifi,2022-06-21,active,2025-03-18
lior16@gmail.com,אמה פישר,manual,2023-06-12,active,2024-12-11
shai894@gmail.com,יוסי צדוק,pos,2025-03-29,active,2025-11-18
tal368@yahoo.com,גילי נוי,pos,2024-02-08,active,2024-12-28
dor10@icloud.com,כרמל ישראלי,event,2024-04-17,bounced,
maya368@hotmail.com,יוסי עמר,wifi,2024-05-22,active,2025-02-15
tomer375@gmail.com,שני גולן,manual,2025-03-02,active,2025-06-10
yael664@gmail.com,הדס אזולאי,manual,2023-02-22,bounced,
alon714@outlook.com,מיה נחום,manual,2023-01-02,active,2025-06-15
michal558@yahoo.com,מיה פרידמן,manual,2023-06-04,active,2025-04-11
yael337@gmail.com,הילה טוויל,manual,2022-10-10,active,2024-09-30
rotem988@gmail.com,אביבית אזולאי,manual,2022-11-28,unsubscribed,
omer302@icloud.com,טל ליבוביץ,manual,2023-11-25,active,2025-12-16
dor262@yahoo.com,אורון כהנא,pos,2022-11-26,bounced,
dor964@outlook.com,תמר אברהם,pos,2022-07-06,active,2024-10-27
arnon162@gmail.com,אופק ויס,manual,2022-06-30,active,2024-08-05
tal47@walla.co.il,אמה סבן,event,2022-06-13,active,2024-07-09
yael513@yahoo.com,אורי אלבז,manual,2025-06-11,unsubscribed,
hila472@yahoo.com,רינת פלד,event,2025-05-08,bounced,
maya460@yahoo.com,ניר פרידמן,wifi,2025-08-04,active,2025-10-20
roni696@gmail.com,שחר חיון,wifi,2025-09-07,active,2025-11-13
tal991@outlook.com,תמר טל,pos,2025-05-12,active,2025-11-05
shai926@walla.co.il,גיא עמר,wifi,2025-06-13,active,2024-11-21
michal568@gmail.com,לאה ענבר,event,2023-05-05,bounced,
ori928@gmail.com,הילה כץ,wifi,2022-06-27,bounced,
omer568@gmail.com,אורן סבן,manual,2023-12-25,active,2025-07-10
michal448@outlook.com,טל רוזן,wifi,2024-11-26,active,2024-06-16
danny336@hotmail.com,יעל קליין,pos,2022-07-04,unsubscribed,
yossi373@gmail.com,שני כהנא,event,2023-12-13,active,2025-03-11
maya141@yahoo.com,מיכל דהן,wifi,2024-07-20,active,2025-07-19
shai205@gmail.com,רוני אזולאי,event,2022-12-25,active,2025-07-22
omer230@gmail.com,הילה ישראלי,pos,2024-10-27,active,2025-03-29
nir737@icloud.com,אורון קליין,pos,2024-11-17,active,2025-02-19
shira852@gmail.com,איתי חזן,event,2025-11-22,active,2025-08-28
ori510@hotmail.com,תומר טוויל,manual,2023-05-14,active,2025-05-14
roni752@yahoo.com,רוני ישראלי,manual,2025-10-27,active,2025-09-15
rinat834@yahoo.com,ענבר אורן,pos,2024-09-14,active,2024-09-28
tal76@outlook.com,אביגיל שפירא,manual,2025-07-21,active,2025-01-12
yossi513@gmail.com,אפרת ישראלי,wifi,2023-10-09,bounced,
tomer502@hotmail.com,אביבית פלד,event,2024-11-23,active,2025-12-01
