customer_name,date,mention,channel,used_on_wall
שני מלכה,2025-01-03,המקום שמציל לי את היום,וואטסאפ,no
נטע עמר,2025-01-06,המאפים מהבית,פייסבוק,no
סיגל פרידמן,2025-01-07,אווירה מדהימה,טאג בפוסט,yes
מעיין ביטון,2025-01-08,הקרואסון הכי טוב שאכלתי,פה-לאוזן בקפה,pending
אריאל אברהם,2025-01-11,הקפה הכי טוב בעיר!,טאג בפוסט,yes
יוסי אדרי,2025-01-19,המאפים מהבית,וואטסאפ,pending
נדב אוחיון,2025-01-28,המקום שמציל לי את היום,פייסבוק,no
אורה כהנא,2025-02-01,המאפים מהבית,ביקורת גוגל,no
שירלי הראל,2025-02-04,כל פעם שאני פה אני מחייכת,וואטסאפ,pending
מיכל מלכה,2025-02-09,השירות מעולה,סטורי,yes
סיגל פרידמן,2025-02-12,הקרואסון הכי טוב שאכלתי,פייסבוק,pending
אריאל אברהם,2025-02-18,אוהבת את האנשים פה,אינסטגרם,yes
יעקב דניאל,2025-02-18,אווירה מדהימה,סטורי,yes
תומר פרידמן,2025-02-22,האווירה אטומית!,טאג בפוסט,yes
גילי יצחקי,2025-02-22,סוף סוף קפה אמיתי,ביקורת גוגל,no
רון פלד,2025-02-23,הצוות גאון,וואטסאפ,yes
משה כהן,2025-02-25,השף ענק,ביקורת גוגל,no
הדס אזולאי,2025-03-02,הצוות גאון,ביקורת גוגל,no
רוני ישראלי,2025-03-07,הקפה הכי טוב בעיר!,אינסטגרם,pending
ארנון מלכה,2025-03-13,הצוות גאון,פייסבוק,yes
ניר פרידמן,2025-03-22,השף ענק,ביקורת גוגל,yes
הדס אזולאי,2025-03-27,סוף סוף קפה אמיתי,פייסבוק,yes
דור אלבז,2025-04-10,השף ענק,טאג בפוסט,no
בן ביטון,2025-04-13,המקום הכי חמים בשכונה,סטורי,yes
יסמין קליין,2025-04-14,המקום הכי חמים בשכונה,ביקורת גוגל,pending
אורה כהנא,2025-04-24,אוהבת את האנשים פה,סטורי,no
רוית ענבר,2025-04-28,השף ענק,טאג בפוסט,no
ארנון טוויל,2025-04-29,תודה על הסבלנות עם הילדים,ביקורת גוגל,yes
נטע אטיאס,2025-05-11,סוף סוף קפה אמיתי,פה-לאוזן בקפה,pending
יעקב אוחיון,2025-05-29,המקום שמציל לי את היום,סטורי,no
דור אלבז,2025-05-29,סוף סוף קפה אמיתי,טאג בפוסט,pending
שרה אוחיון,2025-06-15,כל פעם שאני פה אני מחייכת,סטורי,no
תומר טוויל,2025-06-19,הצוות גאון,אינסטגרם,pending
אופק חזן,2025-06-19,הקרואסון הכי טוב שאכלתי,אינסטגרם,pending
אפרת ישראלי,2025-06-19,המקום שמציל לי את היום,טאג בפוסט,pending
רחל דניאל,2025-06-26,הקפה הכי טוב בעיר!,אינסטגרם,no
אריאל חדד,2025-07-12,השף ענק,פייסבוק,yes
הילה טוויל,2025-07-13,האווירה אטומית!,אינסטגרם,no
תומר חזן,2025-07-20,תודה על הסבלנות עם הילדים,פייסבוק,yes
רותם ליבוביץ,2025-07-21,כל פעם שאני פה אני מחייכת,טאג בפוסט,pending
רינת אטיאס,2025-07-28,המקום שמציל לי את היום,פייסבוק,no
אבי בן חיים,2025-07-30,השף ענק,וואטסאפ,no
שגיא אוחיון,2025-08-06,המקום מוסיף לי שמחה,אינסטגרם,pending
גילי נוי,2025-08-07,השף ענק,ביקורת גוגל,pending
מעיין ביטון,2025-08-20,מרגישה כמו בבית,סטורי,yes
אורי אלבז,2025-08-25,המקום מוסיף לי שמחה,סטורי,pending
אורן נחום,2025-08-29,השירות מעולה,פה-לאוזן בקפה,no
תומר ברק,2025-09-08,המקום מוסיף לי שמחה,ביקורת גוגל,no
אסתר ברק,2025-09-17,מרגישה כמו בבית,פייסבוק,yes
אורה אורן,2025-09-20,הקפה הכי טוב בעיר!,ביקורת גוגל,no
תומר חזן,2025-09-23,המקום שמציל לי את היום,פייסבוק,yes
נטע עמר,2025-09-25,מרגישה כמו בבית,פה-לאוזן בקפה,yes
מיכל דהן,2025-10-02,סוף סוף קפה אמיתי,אינסטגרם,pending
יעקב נוי,2025-10-16,המקום הכי חמים בשכונה,אינסטגרם,pending
רועי ביטון,2025-11-04,הצוות גאון,וואטסאפ,no
גילי אדרי,2025-11-11,המאפים מהבית,אינסטגרם,pending
דנה דניאל,2025-11-20,מרגישה כמו בבית,פה-לאוזן בקפה,no
אורן פישר,2025-11-22,אווירה מדהימה,ביקורת גוגל,yes
יוסי אדרי,2025-12-02,אווירה מדהימה,סטורי,no
שירה לוי,2025-12-27,המאפים מהבית,ביקורת גוגל,pending
