id,name,phone,email,first_visit,last_visit,visit_count,total_spent,favorite_item,notes,vip_status
C0001,אורי כהן,052-4744854,david693@gmail.com,2023-08-02,2025-12-04,186,9672,אמריקנו כפול,"עו""ד מהמשרד הסמוך. קורא עיתון על הנייר. בלי מוזיקה חזקה.",platinum
C0002,שירה לוי,050-4668136,hila28@walla.co.il,2023-04-24,2025-12-14,188,6768,פלט וויט חלב שקדים,מעצבת הלוגו. בת זוג של דניאל. הנחה קבועה.,platinum
C0003,דניאל לוי,054-4698379,amit829@gmail.com,2024-01-06,2025-12-21,359,24771,לאטה + קרואסון שוקולד,מתכנת. בן זוג של שירה. יושב עם לפטופ 2-3 שעות.,platinum
C0004,דוד אברהם,054-6708456,noa981@yahoo.com,2024-04-03,2025-12-26,220,17380,תה נענע + עוגת גזר,"גמלאי צה""ל. 5 שנים לקוח. רגיש לשינויים. אם לא מגיע - לבדוק.",platinum
C0005,ארנון פרץ,053-6770619,shira748@icloud.com,2020-07-28,2025-12-03,277,11357,אייס לאטה + סנדוויץ',פרילנסר. זום כל הזמן. Wi-Fi כבד אבל מוציא ₪70/ביקור.,gold
C0006,רינת ביטון,055-5918715,hila907@yahoo.com,2023-01-03,2025-12-04,276,11040,קפוצ'ינו ללא קפאין,אמא של תינוק. עם עגלה. שואלת על טבעוני.,gold
C0007,בן ביטון,053-3728882,noa687@hotmail.com,2022-04-04,2025-12-18,68,1904,ביסקוטי,,silver
C0008,משה ויס,053-1938483,shira825@yahoo.com,2022-12-17,2025-12-14,2,124,קפוצ'ינו,,none
C0009,מאור ליבוביץ,058-8187926,yossi371@walla.co.il,2023-10-07,2024-05-11,4,148,לאטה,,none
C0010,הילה סלע,054-9877065,tomer882@gmail.com,2022-04-07,2022-11-17,26,676,פלט וויט,,none
C0011,אסתר חיון,055-3997281,david892@hotmail.com,2023-11-28,2024-03-21,3,204,סנדוויץ' אבוקדו,,none
C0012,נדב כץ,053-5017343,,2022-11-27,2025-12-05,5,225,קפוצ'ינו,,none
C0013,גיא קליין,052-4374754,yossi688@yahoo.com,2022-05-22,2025-05-16,2,110,סנדוויץ' אבוקדו,,none
C0014,מאי בן חיים,050-1527021,danny527@walla.co.il,2023-04-06,2023-06-10,3,78,סלט קינואה,,none
C0015,עמרי דהן,054-1908841,rotem101@gmail.com,2025-03-15,2025-11-12,2,128,מאצ'ה לאטה,,none
C0016,ניר אדרי,055-2642635,,2023-01-25,2025-07-31,19,494,אמריקנו כפול,,none
C0017,איתן בן חיים,053-8633773,nir981@icloud.com,2022-12-07,2025-03-18,58,1856,אספרסו,אלרגיה לאגוזים,silver
C0018,אופק חזן,055-2140194,yael414@gmail.com,2022-04-28,2022-08-08,5,270,שייק בננה,,none
C0019,אהרן דניאל,053-7640184,,2022-03-23,2025-09-11,181,6335,עוגת שוקולד,,gold
C0020,תהילה ביטון,050-5098412,rinat449@hotmail.com,2022-01-20,2024-08-15,24,1296,פוקצ'ה,,none
C0021,רפי אורן,055-4533779,noa704@hotmail.com,2023-09-06,2025-07-16,64,4416,תה ירוק,,silver
C0022,אבי ויס,058-8175395,david78@gmail.com,2024-05-17,2025-02-24,1,38,קרואסון שוקולד,,none
C0023,אדם דהן,054-3592974,yael886@gmail.com,2022-03-27,2023-12-18,7,448,אייס לאטה,,none
C0024,רינת אטיאס,054-6866294,yael229@gmail.com,2023-11-12,2025-01-06,2,48,קרואסון חמאה,,none
C0025,מעיין ביטון,055-5453786,,2023-07-26,2024-07-19,185,5365,קרואסון שוקולד,,gold
C0026,רחל דניאל,055-4305700,danny972@yahoo.com,2024-11-13,2025-01-11,4,,ביסקוטי,,none
C0027,גיא זילברמן,054-3919694,tal416@gmail.com,2024-11-04,2025-04-11,4,120,אייס אמריקנו,,none
C0028,דנה דניאל,058-3846949,tal528@yahoo.com,2025-09-02,2025-10-13,4,208,ביסקוטי,אלרגיה לאגוזים,none
C0029,גילי אדרי,055-4262081,yossi507@outlook.com,2022-10-29,2022-12-18,91,2366,אמריקנו כפול,מגיע/ה עם כלב,silver
C0030,יהונתן סבן,058-9910914,hila325@icloud.com,2023-03-25,2023-09-21,5,145,סנדוויץ' אבוקדו,,none
C0031,חן עמר,053-8379837,,2022-11-22,2025-07-21,4,284,תה ירוק,,none
C0032,דניאלה שפירא,055-8816912,noa853@outlook.com,2022-06-15,2023-03-25,2,,שייק בננה,,none
C0033,איתן ברק,055-4700025,amit447@icloud.com,2024-02-19,2025-06-21,1,75,ביסקוטי,תמיד ליד החלון,none
C0034,אלין חדד,,arnon888@icloud.com,2024-08-15,2025-11-28,99,5841,מאצ'ה לאטה,ללא גלוטן,silver
C0035,נועם חזן,053-4761823,rotem42@gmail.com,2023-11-23,2024-12-15,84,,אייס אמריקנו,,silver
C0036,יעקב אוחיון,052-2921542,rinat988@hotmail.com,2023-05-04,2023-09-10,245,12495,שייק בננה,צמחוני,platinum
C0037,מורן ליבוביץ,050-1689025,guy678@yahoo.com,2023-02-11,2023-07-16,28,1148,אמריקנו כפול,טבעוני,none
C0038,סיגל פרידמן,055-9111742,alon607@hotmail.com,2024-06-06,2025-06-11,4,220,תה נענע,,none
C0039,שגיא עמר,053-6709938,hila719@hotmail.com,2023-05-15,2025-06-21,4,168,סנדוויץ' אבוקדו,,none
C0040,אבי בן חיים,050-5936453,nir250@hotmail.com,2024-04-12,2025-08-25,30,2010,קרואסון שוקולד,,none
C0041,חן שמש,052-6294016,,2023-12-06,2025-02-13,16,656,אייס לאטה,,none
C0042,עמית נוי,053-4010529,nir547@gmail.com,2024-09-18,2025-02-06,5,140,אספרסו,,none
C0043,לי דהן,054-2914064,yossi504@gmail.com,2025-07-30,2025-12-02,6,258,ביסקוטי,,none
C0044,נדב אוחיון,055-7381684,lior305@outlook.com,2025-02-26,2025-07-31,46,2760,סמוזי פירות יער,,silver
C0045,יעקב נוי,,hila482@hotmail.com,2022-07-23,2023-09-21,2,,שוקו חם,מגיע/ה עם כלב,none
C0046,תמר ישראלי,052-2198058,,2023-04-24,2025-11-25,3,108,סמוזי פירות יער,,none
C0047,שרה אזולאי,054-6407658,ori94@walla.co.il,2024-08-17,2025-08-04,28,1484,שייק בננה,,none
C0048,איתן ישראלי,055-8312936,shai993@gmail.com,2023-07-06,2025-02-15,30,1500,עוגת גזר,,none
C0049,דניאלה טוויל,054-2477398,roni119@outlook.com,2022-08-03,2023-06-28,19,893,אמריקנו כפול,,none
C0050,אורה פרץ,053-8350368,shai125@gmail.com,2023-01-20,2025-12-16,25,625,סמוזי פירות יער,,none
C0051,בן חדד,050-3583206,nir299@hotmail.com,2023-09-29,2025-04-15,1,75,סלט קינואה,,none
C0052,רוני פלד,054-6702160,omer274@gmail.com,2025-02-02,2025-04-17,96,2496,שוקו חם,,silver
C0053,ליבי עמר,052-7425184,guy45@yahoo.com,2025-01-08,2025-09-12,16,672,קרואסון חמאה,,none
C0054,אמה פישר,054-2672884,lior16@gmail.com,2025-08-28,2025-12-31,21,1239,פוקצ'ה,,none
C0055,יוסי צדוק,054-6312692,shai894@gmail.com,2023-06-27,2024-06-07,5,215,תה נענע,,none
C0056,גילי נוי,,tal368@yahoo.com,2022-07-05,2024-12-09,1,41,תה נענע,,none
C0057,כרמל ישראלי,054-5261032,dor10@icloud.com,2023-01-04,2023-12-18,8,424,ביסקוטי,,none
C0058,יוסי עמר,054-2789344,maya368@hotmail.com,2023-12-09,2025-08-01,3,123,שוקו חם,,none
C0059,רפי מלכה,052-6910964,,2023-07-17,2023-07-25,27,2025,ביסקוטי,תמיד ליד החלון,none
C0060,חיים פרידמן,053-7970985,,2025-07-09,2025-12-21,15,1020,סנדוויץ' אבוקדו,טבעוני,none
C0061,שני גולן,058-7667458,tomer375@gmail.com,2024-09-13,2025-10-30,29,754,אמריקנו כפול,,none
C0062,הדס אזולאי,055-6503032,yael664@gmail.com,2024-07-20,2025-08-01,264,7392,עוגת שוקולד,,platinum
C0063,מיה נחום,054-7224540,alon714@outlook.com,2022-08-27,2023-06-09,1,37,לאטה,,none
C0064,מיה פרידמן,053-2666893,michal558@yahoo.com,2024-09-29,2025-08-10,4,200,פלט וויט,אלרגיה לאגוזים,none
C0065,הילה טוויל,052-4623062,yael337@gmail.com,2023-03-11,2023-04-23,62,,סמוזי פירות יער,,silver
C0066,שגיא אוחיון,052-6431983,,2022-09-24,2025-10-04,45,,לאטה,,silver
C0067,אביבית אזולאי,050-9748499,rotem988@gmail.com,2022-05-11,2025-01-10,30,1500,עוגת גזר,ללא גלוטן,none
C0068,טל ליבוביץ,053-7390515,omer302@icloud.com,2024-06-27,2024-09-10,1,61,עוגת גזר,,none
C0069,אורון כהנא,050-6243691,dor262@yahoo.com,2022-08-23,2025-09-25,19,1406,ביסקוטי,,none
C0070,תמר אברהם,058-3050700,dor964@outlook.com,2022-06-24,2022-12-31,9,531,אספרסו,,none
C0071,ליאת זילברמן,055-7166651,,2023-12-22,2024-04-06,22,792,תה נענע,,none
C0072,חן ענבר,053-1102438,,2025-06-27,2025-12-01,5,330,קפוצ'ינו,ללא גלוטן,none
C0073,אופק ויס,055-2425342,arnon162@gmail.com,2022-03-04,2022-09-07,12,384,תה ירוק,,none
C0074,אמה סבן,058-9164342,tal47@walla.co.il,2024-09-21,2025-07-28,65,1885,סמוזי פירות יער,,silver
C0075,אורי אלבז,052-7378822,yael513@yahoo.com,2023-09-10,2024-04-13,2,44,אספרסו,מגיע/ה עם כלב,none
C0076,רינת פלד,,hila472@yahoo.com,2022-06-09,2024-03-11,19,760,תה נענע,מגיע/ה רק בבוקר,none
C0077,דנה מלכה,055-9555575,,2024-12-09,2025-01-18,4,,קרואסון שוקולד,,none
C0078,ניר פרידמן,054-8783840,maya460@yahoo.com,2022-10-27,2024-04-03,50,1300,פוקצ'ה,,silver
C0079,ליבי עמר,054-1630944,,2022-05-20,2025-01-04,26,1144,קפוצ'ינו,,none
C0080,יעקב דניאל,054-9411547,,2024-11-04,2025-05-19,36,2088,מאצ'ה לאטה,שואל/ת על אירועים,none
C0081,שחר חיון,053-7499771,roni696@gmail.com,2022-12-20,2023-03-10,28,1708,פוקצ'ה,,none
C0082,תמר טל,055-3372774,tal991@outlook.com,2022-07-13,2025-08-28,63,3780,שוקו חם,מגיע/ה רק בבוקר,silver
C0083,מיה פישר,053-9158272,,2023-11-04,2024-03-13,5,225,לאטה,,none
C0084,אורן פישר,052-3722056,,2022-07-27,2025-05-31,29,2059,סמוזי פירות יער,,none
C0085,גיא עמר,055-5012581,shai926@walla.co.il,2022-03-31,2024-07-19,27,1890,שייק בננה,,none
C0086,לאה ענבר,053-1875431,michal568@gmail.com,2023-08-01,2025-10-05,208,15392,סנדוויץ' אבוקדו,,platinum
C0087,אורן אברהם,050-7960815,,2022-11-25,2024-06-05,4,144,תה נענע,,none
C0088,הילה כץ,052-8870361,ori928@gmail.com,2023-04-05,2023-05-03,3,120,טוסט גבינות,מעדיף/ה שולחן בפינה,none
C0089,מאי ענבר,054-9993490,,2023-08-14,2024-04-13,9,648,תה נענע,,none
C0090,אורן סבן,055-9511546,omer568@gmail.com,2022-01-04,2025-06-16,13,351,סלט קינואה,,none
C0091,חיים לביא,058-6578736,,2024-02-04,2024-10-20,1,64,מאצ'ה לאטה,,none
C0092,יהונתן ישראלי,,,2024-08-09,2025-12-24,4,284,אספרסו,,none
