customer_name,card_number,stamps,free_drinks_redeemed,last_visit,total_spent_lifetime,join_date
Yael Kaplan,AC-10000,5,0,2026-01-30,4302,2024-02-22
Omer Avraham,AC-10001,2,0,2026-03-24,612,2025-09-01
Shira Gabay,AC-10002,10,0,2026-01-31,3155,2025-04-30
Noam Levi,AC-10003,4,0,2026-03-10,3613,2024-05-26
Lior Stern,AC-10004,3,0,2026-03-03,3101,2025-02-19
Tamar Livni,AC-10005,2,2,2026-03-01,1338,2025-02-17
Eitan Shaked,AC-10006,9,1,2026-03-24,179,2026-01-26
Maya Katz,AC-10007,4,0,2026-03-05,3400,2024-05-27
Adi Peretz,AC-10008,5,1,2026-02-05,1608,2025-07-28
Gil Peled,AC-10009,2,0,2026-03-31,1705,2025-01-05
Roni Eliyahu,AC-10010,6,2,2026-02-07,5591,2024-08-09
Dana Segal,AC-10011,5,0,2026-02-03,1468,2025-02-28
Ori Levy,AC-10012,6,1,2026-03-12,508,2026-01-08
Neta Cohen,AC-10013,5,0,2026-03-07,5561,2024-04-18
Amit Zohar,AC-10014,1,3,2026-02-01,150,2026-02-08
Keren Stein,AC-10015,4,1,2026-02-25,1512,2025-05-30
Yonatan Harel,AC-10016,4,1,2026-03-13,3538,2025-03-17
Lihi Barak,AC-10017,6,0,2026-03-09,1803,2024-07-18
Shai Nave,AC-10018,4,0,2026-02-09,865,2025-12-12
Inbal Mizrachi,AC-10019,3,2,2026-02-17,371,2026-01-30
Amir Ben-David,AC-10020,8,0,2026-02-26,5445,2024-04-25
Hila Alon,AC-10021,7,1,2026-02-12,2916,2025-06-07
Rotem Berman,AC-10022,8,0,2026-02-12,627,2025-07-27
Tomer Almog,AC-10023,1,0,2026-03-05,3906,2024-11-10
Noa Golan,AC-10024,10,1,2026-02-11,1252,2025-07-24
Gal Biton,AC-10025,2,1,2026-03-10,1818,2025-02-12
Yuval Shapiro,AC-10026,6,1,2026-03-08,2508,2025-04-02
Moran Rosenberg,AC-10027,7,1,2026-02-07,6236,2024-10-07
Itai Edri,AC-10028,7,0,2026-02-25,1482,2025-10-02
Efrat Oz,AC-10029,0,0,2026-02-09,2861,2025-06-19
Chen Wolf,AC-10030,10,1,2026-02-19,1686,2024-12-09
Sapir Schwartz,AC-10031,6,0,2026-03-23,1870,2024-11-22
Ran Ohana,AC-10032,0,2,2026-03-17,5916,2024-02-07
Dikla Sarusi,AC-10033,0,1,2026-02-08,2031,2025-03-25
Ofir Bachar,AC-10034,2,1,2026-02-17,2532,2025-05-11
Merav Tsur,AC-10035,3,1,2026-02-18,884,2025-07-27
Erez Raz,AC-10036,2,0,2026-02-25,150,2026-01-12
Hadar Shamir,AC-10037,8,1,2026-03-09,162,2026-02-16
Assaf Harari,AC-10038,0,2,2026-03-04,2754,2024-12-14
Einav Nisim,AC-10039,1,1,2026-02-18,7078,2024-07-02
Boaz Hadad,AC-10040,6,0,2026-02-23,5715,2024-08-24
Ilanit Friedman,AC-10041,2,2,2026-03-15,4886,2024-06-14
Nadav Goldstein,AC-10042,6,0,2026-01-30,1062,2025-08-21
Shiri Yosef,AC-10043,4,1,2026-03-24,8869,2024-01-12
Elad Malka,AC-10044,0,0,2026-02-21,5950,2024-03-15
Maayan Azulai,AC-10045,5,0,2026-02-07,904,2025-11-10
Doron Tal,AC-10046,2,0,2026-02-12,2501,2025-07-15
Carmit Dahan,AC-10047,3,1,2026-03-28,1739,2025-06-08
Yoav Blum,AC-10048,4,0,2026-03-04,789,2025-10-25
Ayelet Naor,AC-10049,3,0,2026-02-19,5920,2024-01-30
