תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/12/2025,יתרת פתיחה,,,,63140.00
01/12/2025,העברה - שכירות דצמבר - דוד אברהמי,700201,8500.00,,54640.00
02/12/2025,"הוראת קבע - ארנונה עיריית ת""א",800201,2180.00,,52460.00
02/12/2025,הוראת קבע - בזק אינטרנט,800202,289.00,,52171.00
02/12/2025,הוראת קבע - חברת חשמל,800203,1870.00,,50301.00
02/12/2025,POS - מכירות 01/12/2025,POS8101,,1340.00,51641.00
02/12/2025,BIT - מכירות 01/12/2025,BIT4311,,420.00,52061.00
03/12/2025,הוראת קבע - הלוואת שיפוץ בנק הפועלים,800204,1800.00,,50261.00
03/12/2025,POS - מכירות 02/12/2025,POS8102,,1450.00,51711.00
03/12/2025,BIT - מכירות 02/12/2025,BIT4312,,500.00,52211.00
04/12/2025,POS - מכירות 03/12/2025,POS8103,,1430.00,53641.00
04/12/2025,BIT - מכירות 03/12/2025,BIT4313,,300.00,53941.00
05/12/2025,משכורת - נועה לוי נובמבר,700202,7500.00,,46441.00
05/12/2025,משכורת - דני כהן נובמבר,700203,5700.00,,40741.00
05/12/2025,משכורת - יוסי מזרחי נובמבר,700204,7100.00,,33641.00
05/12/2025,משיכת בעלים - נועם שלומי,700205,10000.00,,23641.00
05/12/2025,POS - מכירות 04/12/2025,POS8104,,1200.00,24841.00
05/12/2025,BIT - מכירות 04/12/2025,BIT4314,,430.00,25271.00
06/12/2025,POS - מכירות 05/12/2025 (שישי),POS8105,,2870.00,28141.00
06/12/2025,BIT - מכירות 05/12/2025 (שישי),BIT4315,,650.00,28791.00
07/12/2025,העברה - חלב טוב יוסי חשבונית 4598,700206,3210.00,,25581.00
07/12/2025,POS - מכירות 06/12/2025 (שבת),POS8106,,2500.00,28081.00
07/12/2025,BIT - מכירות 06/12/2025 (שבת),BIT4316,,770.00,28851.00
08/12/2025,POS - מכירות 07/12/2025,POS8107,,1450.00,30301.00
08/12/2025,BIT - מכירות 07/12/2025,BIT4317,,650.00,30951.00
09/12/2025,העברה - מאפיית שמש רונית חשבונית 0822,700207,4870.00,,26081.00
09/12/2025,POS - מכירות 08/12/2025,POS8108,,1720.00,27801.00
09/12/2025,BIT - מכירות 08/12/2025,BIT4318,,360.00,28161.00
10/12/2025,POS - מכירות 09/12/2025,POS8109,,1120.00,29281.00
10/12/2025,BIT - מכירות 09/12/2025,BIT4319,,420.00,29701.00
