תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/02/2026,יתרת פתיחה,,,,52340.00
01/02/2026,העברה - שכירות פברואר - רונן אברהמי,700234,21645.00,,30695.00
02/02/2026,"הוראת קבע - ארנונה עיריית ת""א",800891,2340.00,,28355.00
02/02/2026,הוראת קבע - בזק אינטרנט,800892,289.00,,28066.00
02/02/2026,הוראת קבע - חברת חשמל,800893,1870.00,,26196.00
03/02/2026,POS - מכירות 02/02,POS8891,,4320.50,30516.50
03/02/2026,העברה - מאפיית שמש חשבונית 0821,700235,4805.50,,25711.00
04/02/2026,POS - מכירות 03/02,POS8892,,3890.00,29601.00
04/02/2026,BIT - מכירות 03/02,BIT4451,,1240.00,30841.00
05/02/2026,POS - מכירות 04/02,POS8893,,5110.00,35951.00
05/02/2026,משכורת - נועה לוי ינואר,700236,7200.00,,28751.00
05/02/2026,משכורת - דני כהן ינואר,700237,5400.00,,23351.00
05/02/2026,משכורת - יוסי מזרחי ינואר,700238,6800.00,,16551.00
06/02/2026,POS - מכירות 05/02,POS8894,,3650.00,20201.00
06/02/2026,BIT - מכירות 05/02,BIT4452,,980.00,21181.00
07/02/2026,POS - מכירות 06/02 (שישי),POS8895,,7230.00,28411.00
08/02/2026,POS - מכירות 07/02 (שבת),POS8896,,8450.00,36861.00
09/02/2026,הוראת קבע - ביטוח מקיף הפניקס,800894,1450.00,,35411.00
09/02/2026,POS - מכירות 08/02,POS8897,,2980.00,38391.00
10/02/2026,POS - מכירות 09/02,POS8898,,4560.00,42951.00
10/02/2026,העברה - סופר פארם חומרי ניקוי,700239,680.00,,42271.00
11/02/2026,POS - מכירות 10/02,POS8899,,3420.00,45691.00
11/02/2026,BIT - מכירות 10/02,BIT4453,,1560.00,47251.00
12/02/2026,POS - מכירות 11/02,POS8900,,4890.00,52141.00
12/02/2026,כרטיס אשראי - שופרסל ספקים,900123,2340.00,,49801.00
13/02/2026,POS - מכירות 12/02,POS8901,,3780.00,53581.00
13/02/2026,העברה - טכנאי מזגנים שלמה קירור,700240,850.00,,52731.00
14/02/2026,POS - מכירות 13/02 (ולנטיינס),POS8902,,9870.00,62601.00
14/02/2026,BIT - מכירות 13/02,BIT4454,,3450.00,66051.00
15/02/2026,POS - מכירות 14/02,POS8903,,4120.00,70171.00
15/02/2026,העברה - מאפיית שמש חשבונית 0847,700241,5621.27,,64549.73
16/02/2026,עמלת סליקה - כאל פברואר,900124,1890.00,,62659.73
17/02/2026,POS - מכירות 16/02,POS8904,,3210.00,65869.73
18/02/2026,POS - מכירות 17/02,POS8905,,4670.00,70539.73
18/02/2026,הוראת קבע - מים עירייה,800895,430.00,,70109.73
19/02/2026,POS - מכירות 18/02,POS8906,,3540.00,73649.73
20/02/2026,POS - מכירות 19/02,POS8907,,5230.00,78879.73
20/02/2026,העברה - יוסף חלב וגבינות,700242,3200.00,,75679.73
21/02/2026,POS - מכירות 20/02 (שישי),POS8908,,6980.00,82659.73
22/02/2026,POS - מכירות 21/02 (שבת),POS8909,,8120.00,90779.73
