תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/01/2026,יתרת פתיחה,,,,54810.00
02/01/2026,"הוראת קבע - ארנונה עיריית ת""א",800301,2340.00,,52470.00
02/01/2026,הוראת קבע - בזק אינטרנט,800302,289.00,,52181.00
02/01/2026,הוראת קבע - חברת חשמל,800303,1960.00,,50221.00
02/01/2026,POS - מכירות 01/01/2026,POS8401,,990.00,51211.00
02/01/2026,BIT - מכירות 01/01/2026,BIT4361,,500.00,51711.00
03/01/2026,הוראת קבע - הלוואת שיפוץ בנק הפועלים,800304,1800.00,,49911.00
03/01/2026,POS - מכירות 02/01/2026 (שישי),POS8402,,2270.00,52181.00
03/01/2026,BIT - מכירות 02/01/2026 (שישי),BIT4362,,890.00,53071.00
04/01/2026,POS - מכירות 03/01/2026 (שבת),POS8403,,2440.00,55511.00
04/01/2026,BIT - מכירות 03/01/2026 (שבת),BIT4363,,570.00,56081.00
05/01/2026,משכורת - נועה לוי דצמבר,700301,7400.00,,48681.00
05/01/2026,משכורת - דני כהן דצמבר,700302,5600.00,,43081.00
05/01/2026,משכורת - יוסי מזרחי דצמבר,700303,7100.00,,35981.00
05/01/2026,משיכת בעלים - נועם שלומי,700304,9000.00,,26981.00
05/01/2026,POS - מכירות 04/01/2026,POS8404,,1230.00,28211.00
05/01/2026,BIT - מכירות 04/01/2026,BIT4364,,550.00,28761.00
06/01/2026,POS - מכירות 05/01/2026,POS8405,,970.00,29731.00
06/01/2026,BIT - מכירות 05/01/2026,BIT4365,,370.00,30101.00
07/01/2026,העברה - חלב טוב יוסי חשבונית 4682 (מחיר חדש),700305,3710.00,,26391.00
07/01/2026,POS - מכירות 06/01/2026,POS8406,,1200.00,27591.00
07/01/2026,BIT - מכירות 06/01/2026,BIT4366,,480.00,28071.00
08/01/2026,POS - מכירות 07/01/2026,POS8407,,1210.00,29281.00
08/01/2026,BIT - מכירות 07/01/2026,BIT4367,,550.00,29831.00
09/01/2026,העברה - שכירות ינואר - דוד אברהמי (איחור),700306,8500.00,,21331.00
09/01/2026,POS - מכירות 08/01/2026,POS8408,,1090.00,22421.00
09/01/2026,BIT - מכירות 08/01/2026,BIT4368,,360.00,22781.00
10/01/2026,העברה - מאפיית שמש רונית חשבונית 0888,700307,4950.00,,17831.00
10/01/2026,POS - מכירות 09/01/2026 (שישי),POS8409,,2710.00,20541.00
10/01/2026,BIT - מכירות 09/01/2026 (שישי),BIT4369,,600.00,21141.00
11/01/2026,POS - מכירות 10/01/2026 (שבת),POS8410,,1920.00,23061.00
11/01/2026,BIT - מכירות 10/01/2026 (שבת),BIT4370,,430.00,23491.00
12/01/2026,העברה - קפה ירוק מוטי חשבונית 1370 (מחיר חדש +15%),700308,4510.00,,18981.00
12/01/2026,POS - מכירות 11/01/2026,POS8411,,1400.00,20381.00
12/01/2026,BIT - מכירות 11/01/2026,BIT4371,,380.00,20761.00
13/01/2026,POS - מכירות 12/01/2026,POS8412,,1150.00,21911.00
13/01/2026,BIT - מכירות 12/01/2026,BIT4372,,250.00,22161.00
14/01/2026,העברה - יעקב אספקה חד פעמי,700309,1220.00,,20941.00
14/01/2026,POS - מכירות 13/01/2026,POS8413,,850.00,21791.00
