תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/03/2026,יתרת פתיחה,,,,41220.00
02/03/2026,"הוראת קבע - ארנונה עיריית ת""א",800501,2340.00,,38880.00
02/03/2026,הוראת קבע - בזק אינטרנט,800502,289.00,,38591.00
02/03/2026,הוראת קבע - חברת חשמל,800503,2100.00,,36491.00
02/03/2026,POS - מכירות 01/03/2026,POS8801,,1100.00,37591.00
02/03/2026,BIT - מכירות 01/03/2026,BIT4501,,270.00,37861.00
03/03/2026,הוראת קבע - הלוואת שיפוץ בנק הפועלים,800504,1800.00,,36061.00
03/03/2026,POS - מכירות 02/03/2026,POS8802,,770.00,36831.00
03/03/2026,BIT - מכירות 02/03/2026,BIT4502,,370.00,37201.00
04/03/2026,POS - מכירות 03/03/2026,POS8803,,1140.00,38341.00
04/03/2026,BIT - מכירות 03/03/2026,BIT4503,,210.00,38551.00
05/03/2026,משכורת - נועה לוי פברואר,700501,7200.00,,31351.00
05/03/2026,משכורת - דני כהן פברואר,700502,5400.00,,25951.00
05/03/2026,משכורת - יוסי מזרחי פברואר,700503,6900.00,,19051.00
05/03/2026,משיכת בעלים - נועם שלומי (חלקי),700504,7000.00,,12051.00
05/03/2026,POS - מכירות 04/03/2026,POS8804,,960.00,13011.00
05/03/2026,BIT - מכירות 04/03/2026,BIT4504,,320.00,13331.00
06/03/2026,משיכת מזומן בכספומט - כרטיס אשראי ויזה כאל,ATM7711,,5000.00,18331.00
06/03/2026,עמלת משיכת מזומן באשראי,ATM7711F,195.00,,18136.00
06/03/2026,POS - מכירות 05/03/2026,POS8805,,1300.00,19436.00
06/03/2026,BIT - מכירות 05/03/2026,BIT4505,,350.00,19786.00
07/03/2026,POS - מכירות 06/03/2026 (שישי),POS8806,,1970.00,21756.00
07/03/2026,BIT - מכירות 06/03/2026 (שישי),BIT4506,,400.00,22156.00
08/03/2026,העברה - חלב טוב יוסי חשבונית 4811,700505,3650.00,,18506.00
08/03/2026,POS - מכירות 07/03/2026 (שבת),POS8807,,2610.00,21116.00
08/03/2026,BIT - מכירות 07/03/2026 (שבת),BIT4507,,700.00,21816.00
09/03/2026,POS - מכירות 08/03/2026,POS8808,,880.00,22696.00
09/03/2026,BIT - מכירות 08/03/2026,BIT4508,,440.00,23136.00
10/03/2026,POS - מכירות 09/03/2026,POS8809,,1150.00,24286.00
10/03/2026,BIT - מכירות 09/03/2026,BIT4509,,480.00,24766.00
11/03/2026,העברה - שכירות מרץ - דוד אברהמי (איחור 10 ימים),700506,8500.00,,16266.00
11/03/2026,POS - מכירות 10/03/2026,POS8810,,1370.00,17636.00
11/03/2026,BIT - מכירות 10/03/2026,BIT4510,,270.00,17906.00
12/03/2026,POS - מכירות 11/03/2026,POS8811,,1110.00,19016.00
12/03/2026,BIT - מכירות 11/03/2026,BIT4511,,560.00,19576.00
13/03/2026,משיכת מזומן בכספומט - כרטיס אשראי ויזה כאל,ATM7798,,4000.00,23576.00
13/03/2026,עמלת משיכת מזומן באשראי,ATM7798F,165.00,,23411.00
13/03/2026,POS - מכירות 12/03/2026,POS8812,,1490.00,24901.00
13/03/2026,BIT - מכירות 12/03/2026,BIT4512,,310.00,25211.00
14/03/2026,העברה - מאפיית שמש רונית חשבונית 0991,700507,4810.00,,20401.00
14/03/2026,POS - מכירות 13/03/2026 (שישי),POS8813,,2030.00,22431.00
14/03/2026,BIT - מכירות 13/03/2026 (שישי),BIT4513,,950.00,23381.00
15/03/2026,POS - מכירות 14/03/2026 (שבת),POS8814,,2490.00,25871.00
15/03/2026,BIT - מכירות 14/03/2026 (שבת),BIT4514,,720.00,26591.00
16/03/2026,הוראת קבע - ביטוח הפניקס,800505,850.00,,25741.00
16/03/2026,POS - מכירות 15/03/2026,POS8815,,1060.00,26801.00
16/03/2026,BIT - מכירות 15/03/2026,BIT4515,,320.00,27121.00
17/03/2026,העברה - קפה ירוק מוטי חשבונית 1477 (תשלום חלקי),700508,2500.00,,24621.00
17/03/2026,POS - מכירות 16/03/2026,POS8816,,1150.00,25771.00
17/03/2026,BIT - מכירות 16/03/2026,BIT4516,,340.00,26111.00
18/03/2026,העברה - תיקון מקרר תצוגה - שלמה טכנאי קפה,700509,3200.00,,22911.00
18/03/2026,POS - מכירות 17/03/2026,POS8817,,1140.00,24051.00
18/03/2026,BIT - מכירות 17/03/2026,BIT4517,,430.00,24481.00
19/03/2026,POS - מכירות 18/03/2026,POS8818,,1230.00,25711.00
19/03/2026,BIT - מכירות 18/03/2026,BIT4518,,390.00,26101.00
20/03/2026,משיכת מזומן בכספומט - כרטיס אשראי ויזה כאל,ATM7855,,3000.00,29101.00
20/03/2026,עמלת משיכת מזומן באשראי,ATM7855F,130.00,,28971.00
20/03/2026,POS - מכירות 19/03/2026,POS8819,,1320.00,30291.00
20/03/2026,BIT - מכירות 19/03/2026,BIT4519,,450.00,30741.00
21/03/2026,POS - מכירות 20/03/2026 (שישי),POS8820,,1890.00,32631.00
21/03/2026,BIT - מכירות 20/03/2026 (שישי),BIT4520,,960.00,33591.00
22/03/2026,העברה - קפה ירוק מוטי חשבונית 1477 השלמה,700510,2100.00,,31491.00
22/03/2026,POS - מכירות 21/03/2026 (שבת),POS8821,,2400.00,33891.00
22/03/2026,BIT - מכירות 21/03/2026 (שבת),BIT4521,,860.00,34751.00
23/03/2026,POS - מכירות 22/03/2026,POS8822,,990.00,35741.00
23/03/2026,BIT - מכירות 22/03/2026,BIT4522,,500.00,36241.00
23/03/2026,העברה - אירוע חברה Adapt Solutions,3300588,,1500.00,37741.00
24/03/2026,העברה - רואה חשבון שמואל גולן פברואר,700511,1200.00,,36541.00
24/03/2026,POS - מכירות 23/03/2026,POS8823,,1130.00,37671.00
24/03/2026,BIT - מכירות 23/03/2026,BIT4523,,260.00,37931.00
25/03/2026,העברה - חלב טוב יוסי חשבונית 4862 (תשלום חלקי),700512,1900.00,,36031.00
25/03/2026,POS - מכירות 24/03/2026,POS8824,,1140.00,37171.00
25/03/2026,BIT - מכירות 24/03/2026,BIT4524,,240.00,37411.00
26/03/2026,POS - מכירות 25/03/2026,POS8825,,1140.00,38551.00
26/03/2026,BIT - מכירות 25/03/2026,BIT4525,,560.00,39111.00
27/03/2026,העברה - יעקב אספקה - דחוף,700513,980.00,,38131.00
27/03/2026,POS - מכירות 26/03/2026,POS8826,,990.00,39121.00
27/03/2026,BIT - מכירות 26/03/2026,BIT4526,,200.00,39321.00
28/03/2026,POS - מכירות 27/03/2026 (שישי),POS8827,,1980.00,41301.00
28/03/2026,BIT - מכירות 27/03/2026 (שישי),BIT4527,,820.00,42121.00
29/03/2026,כרטיס אשראי - שופרסל ספקים,900501,2180.00,,39941.00
29/03/2026,POS - מכירות 28/03/2026 (שבת),POS8828,,2380.00,42321.00
29/03/2026,BIT - מכירות 28/03/2026 (שבת),BIT4528,,530.00,42851.00
30/03/2026,עמלת סליקה - כאל מרץ,900502,1550.00,,41301.00
30/03/2026,הוראת קבע - מים עירייה,800506,430.00,,40871.00
30/03/2026,POS - מכירות 29/03/2026,POS8829,,1350.00,42221.00
30/03/2026,BIT - מכירות 29/03/2026,BIT4529,,400.00,42621.00
31/03/2026,עמלת חריגה ממסגרת אשראי,OD0331,89.00,,42532.00
31/03/2026,ריבית מסגרת אשראי - מרץ,INT0331,412.00,,42120.00
31/03/2026,POS - מכירות 30/03/2026,POS8830,,880.00,43000.00
31/03/2026,BIT - מכירות 30/03/2026,BIT4530,,280.00,43280.00
01/04/2026,POS - מכירות 31/03/2026,POS8831,,1190.00,44470.00
01/04/2026,BIT - מכירות 31/03/2026,BIT4531,,240.00,44710.00
