תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/11/2025,יתרת פתיחה,,,,61280.00
01/11/2025,העברה - שכירות נובמבר - דוד אברהמי,700101,8500.00,,52780.00
02/11/2025,"הוראת קבע - ארנונה עיריית ת""א",800101,2180.00,,50600.00
02/11/2025,הוראת קבע - בזק אינטרנט,800102,289.00,,50311.00
02/11/2025,הוראת קבע - חברת חשמל,800103,1790.00,,48521.00
02/11/2025,POS - מכירות 01/11/2025 (שבת),POS7901,,2650.00,51171.00
02/11/2025,BIT - מכירות 01/11/2025 (שבת),BIT4281,,840.00,52011.00
03/11/2025,הוראת קבע - הלוואת שיפוץ בנק הפועלים,800104,1800.00,,50211.00
03/11/2025,POS - מכירות 02/11/2025,POS7902,,1220.00,51431.00
03/11/2025,BIT - מכירות 02/11/2025,BIT4282,,280.00,51711.00
04/11/2025,POS - מכירות 03/11/2025,POS7903,,1230.00,52941.00
04/11/2025,BIT - מכירות 03/11/2025,BIT4283,,480.00,53421.00
05/11/2025,משכורת - נועה לוי אוקטובר,700102,7500.00,,45921.00
05/11/2025,משכורת - דני כהן אוקטובר,700103,5700.00,,40221.00
05/11/2025,משכורת - יוסי מזרחי אוקטובר,700104,7000.00,,33221.00
05/11/2025,משיכת בעלים - נועם שלומי,700105,12000.00,,21221.00
05/11/2025,POS - מכירות 04/11/2025,POS7904,,1280.00,22501.00
05/11/2025,BIT - מכירות 04/11/2025,BIT4284,,540.00,23041.00
06/11/2025,POS - מכירות 05/11/2025,POS7905,,1390.00,24431.00
06/11/2025,BIT - מכירות 05/11/2025,BIT4285,,290.00,24721.00
07/11/2025,העברה - חלב טוב יוסי חשבונית 4501,700106,3080.00,,21641.00
07/11/2025,POS - מכירות 06/11/2025,POS7906,,1040.00,22681.00
07/11/2025,BIT - מכירות 06/11/2025,BIT4286,,470.00,23151.00
08/11/2025,POS - מכירות 07/11/2025 (שישי),POS7907,,2440.00,25591.00
08/11/2025,BIT - מכירות 07/11/2025 (שישי),BIT4287,,900.00,26491.00
09/11/2025,העברה - מאפיית שמש רונית חשבונית 0762,700107,4640.00,,21851.00
09/11/2025,POS - מכירות 08/11/2025 (שבת),POS7908,,2600.00,24451.00
09/11/2025,BIT - מכירות 08/11/2025 (שבת),BIT4288,,1140.00,25591.00
10/11/2025,POS - מכירות 09/11/2025,POS7909,,1090.00,26681.00
10/11/2025,BIT - מכירות 09/11/2025,BIT4289,,360.00,27041.00
11/11/2025,העברה - קפה ירוק מוטי חשבונית 1238,700108,3810.00,,23231.00
11/11/2025,POS - מכירות 10/11/2025,POS7910,,1220.00,24451.00
11/11/2025,BIT - מכירות 10/11/2025,BIT4290,,630.00,25081.00
12/11/2025,POS - מכירות 11/11/2025,POS7911,,1040.00,26121.00
12/11/2025,BIT - מכירות 11/11/2025,BIT4291,,520.00,26641.00
13/11/2025,העברה - יעקב אספקה חד פעמי + ניקיון,700109,1240.00,,25401.00
13/11/2025,POS - מכירות 12/11/2025,POS7912,,1480.00,26881.00
13/11/2025,BIT - מכירות 12/11/2025,BIT4292,,520.00,27401.00
14/11/2025,POS - מכירות 13/11/2025,POS7913,,1180.00,28581.00
14/11/2025,BIT - מכירות 13/11/2025,BIT4293,,610.00,29191.00
15/11/2025,POS - מכירות 14/11/2025 (שישי),POS7914,,2640.00,31831.00
15/11/2025,BIT - מכירות 14/11/2025 (שישי),BIT4294,,730.00,32561.00
16/11/2025,הוראת קבע - ביטוח הפניקס,800105,850.00,,31711.00
16/11/2025,POS - מכירות 15/11/2025 (שבת),POS7915,,3220.00,34931.00
16/11/2025,BIT - מכירות 15/11/2025 (שבת),BIT4295,,710.00,35641.00
17/11/2025,POS - מכירות 16/11/2025,POS7916,,1360.00,37001.00
17/11/2025,BIT - מכירות 16/11/2025,BIT4296,,540.00,37541.00
18/11/2025,העברה - חלב טוב יוסי חשבונית 4544,700110,3290.00,,34251.00
18/11/2025,POS - מכירות 17/11/2025,POS7917,,1080.00,35331.00
18/11/2025,BIT - מכירות 17/11/2025,BIT4297,,560.00,35891.00
19/11/2025,POS - מכירות 18/11/2025,POS7918,,1470.00,37361.00
19/11/2025,BIT - מכירות 18/11/2025,BIT4298,,350.00,37711.00
20/11/2025,העברה - מאפיית שמש רונית חשבונית 0791,700111,4810.00,,32901.00
20/11/2025,POS - מכירות 19/11/2025,POS7919,,1090.00,33991.00
20/11/2025,BIT - מכירות 19/11/2025,BIT4299,,570.00,34561.00
21/11/2025,העברה - שוק הכרמל אבו חסן ירקות,700112,720.00,,33841.00
21/11/2025,POS - מכירות 20/11/2025,POS7920,,960.00,34801.00
21/11/2025,BIT - מכירות 20/11/2025,BIT4300,,440.00,35241.00
22/11/2025,POS - מכירות 21/11/2025 (שישי),POS7921,,2430.00,37671.00
22/11/2025,BIT - מכירות 21/11/2025 (שישי),BIT4301,,1110.00,38781.00
23/11/2025,POS - מכירות 22/11/2025 (שבת),POS7922,,3400.00,42181.00
23/11/2025,BIT - מכירות 22/11/2025 (שבת),BIT4302,,740.00,42921.00
23/11/2025,העברה - קייטרינג ישיבת חברה Tech Synergy,3300311,,1800.00,44721.00
24/11/2025,העברה - רואה חשבון שמואל גולן אוקטובר,700113,1200.00,,43521.00
24/11/2025,POS - מכירות 23/11/2025,POS7923,,1250.00,44771.00
24/11/2025,BIT - מכירות 23/11/2025,BIT4303,,420.00,45191.00
25/11/2025,POS - מכירות 24/11/2025,POS7924,,1170.00,46361.00
25/11/2025,BIT - מכירות 24/11/2025,BIT4304,,550.00,46911.00
26/11/2025,העברה - קפה ירוק מוטי חשבונית 1271,700114,3910.00,,43001.00
26/11/2025,POS - מכירות 25/11/2025,POS7925,,1110.00,44111.00
26/11/2025,BIT - מכירות 25/11/2025,BIT4305,,270.00,44381.00
27/11/2025,POS - מכירות 26/11/2025,POS7926,,1320.00,45701.00
27/11/2025,BIT - מכירות 26/11/2025,BIT4306,,610.00,46311.00
28/11/2025,כרטיס אשראי - שופרסל ספקים,900101,1960.00,,44351.00
28/11/2025,POS - מכירות 27/11/2025,POS7927,,1710.00,46061.00
28/11/2025,BIT - מכירות 27/11/2025,BIT4307,,370.00,46431.00
29/11/2025,POS - מכירות 28/11/2025 (שישי),POS7928,,3330.00,49761.00
29/11/2025,BIT - מכירות 28/11/2025 (שישי),BIT4308,,650.00,50411.00
30/11/2025,עמלת סליקה - כאל נובמבר,900102,1720.00,,48691.00
30/11/2025,הוראת קבע - מים עירייה,800106,430.00,,48261.00
30/11/2025,POS - מכירות 29/11/2025 (שבת),POS7929,,3120.00,51381.00
30/11/2025,BIT - מכירות 29/11/2025 (שבת),BIT4309,,810.00,52191.00
01/12/2025,POS - מכירות 30/11/2025,POS7930,,1480.00,53671.00
01/12/2025,BIT - מכירות 30/11/2025,BIT4310,,580.00,54251.00
