תאריך,תיאור,אסמכתא,חובה,זכות,יתרה
01/10/2025,יתרת פתיחה,,,,58420.00
01/10/2025,העברה - שכירות אוקטובר - דוד אברהמי,700001,8500.00,,49920.00
02/10/2025,"הוראת קבע - ארנונה עיריית ת""א",800001,2180.00,,47740.00
02/10/2025,הוראת קבע - בזק אינטרנט,800002,289.00,,47451.00
02/10/2025,הוראת קבע - חברת חשמל,800003,1840.00,,45611.00
02/10/2025,POS - מכירות 01/10/2025,POS7601,,1560.00,47171.00
02/10/2025,BIT - מכירות 01/10/2025,BIT4201,,330.00,47501.00
03/10/2025,הוראת קבע - הלוואת שיפוץ בנק הפועלים,800004,1800.00,,45701.00
03/10/2025,POS - מכירות 02/10/2025,POS7602,,1250.00,46951.00
03/10/2025,BIT - מכירות 02/10/2025,BIT4202,,600.00,47551.00
04/10/2025,POS - מכירות 03/10/2025 (שישי),POS7603,,1800.00,49351.00
04/10/2025,BIT - מכירות 03/10/2025 (שישי),BIT4203,,890.00,50241.00
05/10/2025,משכורת - נועה לוי ספטמבר,700002,7400.00,,42841.00
05/10/2025,משכורת - דני כהן ספטמבר,700003,5600.00,,37241.00
05/10/2025,משכורת - יוסי מזרחי ספטמבר,700004,6900.00,,30341.00
05/10/2025,משיכת בעלים - נועם שלומי,700005,12000.00,,18341.00
05/10/2025,POS - מכירות 04/10/2025 (שבת),POS7604,,2860.00,21201.00
05/10/2025,BIT - מכירות 04/10/2025 (שבת),BIT4204,,900.00,22101.00
06/10/2025,POS - מכירות 05/10/2025,POS7605,,1120.00,23221.00
06/10/2025,BIT - מכירות 05/10/2025,BIT4205,,440.00,23661.00
07/10/2025,העברה - חלב טוב יוסי חשבונית 4421,700006,2940.00,,20721.00
07/10/2025,POS - מכירות 06/10/2025,POS7606,,1150.00,21871.00
07/10/2025,BIT - מכירות 06/10/2025,BIT4206,,430.00,22301.00
08/10/2025,POS - מכירות 07/10/2025,POS7607,,1440.00,23741.00
08/10/2025,BIT - מכירות 07/10/2025,BIT4207,,300.00,24041.00
09/10/2025,העברה - מאפיית שמש רונית חשבונית 0712,700007,4280.00,,19761.00
09/10/2025,POS - מכירות 08/10/2025,POS7608,,1290.00,21051.00
09/10/2025,BIT - מכירות 08/10/2025,BIT4208,,540.00,21591.00
10/10/2025,POS - מכירות 09/10/2025,POS7609,,1390.00,22981.00
10/10/2025,BIT - מכירות 09/10/2025,BIT4209,,590.00,23571.00
11/10/2025,POS - מכירות 10/10/2025 (שישי),POS7610,,2480.00,26051.00
11/10/2025,BIT - מכירות 10/10/2025 (שישי),BIT4210,,1070.00,27121.00
12/10/2025,העברה - קפה ירוק מוטי חשבונית 1188,700008,3640.00,,23481.00
12/10/2025,POS - מכירות 11/10/2025 (שבת),POS7611,,2110.00,25591.00
12/10/2025,BIT - מכירות 11/10/2025 (שבת),BIT4211,,730.00,26321.00
13/10/2025,POS - מכירות 12/10/2025,POS7612,,1300.00,27621.00
13/10/2025,BIT - מכירות 12/10/2025,BIT4212,,660.00,28281.00
14/10/2025,העברה - יעקב אספקה חד פעמי,700009,1180.00,,27101.00
14/10/2025,POS - מכירות 13/10/2025,POS7613,,870.00,27971.00
14/10/2025,BIT - מכירות 13/10/2025,BIT4213,,420.00,28391.00
15/10/2025,POS - מכירות 14/10/2025,POS7614,,1340.00,29731.00
15/10/2025,BIT - מכירות 14/10/2025,BIT4214,,420.00,30151.00
16/10/2025,הוראת קבע - ביטוח הפניקס,800005,850.00,,29301.00
16/10/2025,POS - מכירות 15/10/2025,POS7615,,930.00,30231.00
16/10/2025,BIT - מכירות 15/10/2025,BIT4215,,450.00,30681.00
17/10/2025,העברה - חלב טוב יוסי חשבונית 4467,700010,3120.00,,27561.00
17/10/2025,POS - מכירות 16/10/2025,POS7616,,1070.00,28631.00
17/10/2025,BIT - מכירות 16/10/2025,BIT4216,,400.00,29031.00
18/10/2025,POS - מכירות 17/10/2025 (שישי),POS7617,,1950.00,30981.00
18/10/2025,BIT - מכירות 17/10/2025 (שישי),BIT4217,,710.00,31691.00
18/10/2025,העברה - אירוע יום הולדת משפ' שטיינברג,3300210,,3200.00,34891.00
19/10/2025,POS - מכירות 18/10/2025 (שבת),POS7618,,2460.00,37351.00
