timestamp,number,contact_name,duration_sec,type
2026-01-05 08:05:13,050-4445566,רוני - ניקיון פרו,347,outgoing
2026-01-05 08:47:17,054-7654321,מירי - חלב טרי,112,incoming
2026-01-05 10:13:48,050-1234567,ירון - מאפיית הבוקר,109,outgoing
2026-01-05 11:45:41,050-1112299,,0,missed
2026-01-05 17:17:51,1700-700700,בנק הפועלים,314,incoming
2026-01-05 18:47:57,050-4445566,רוני - ניקיון פרו,76,outgoing
2026-01-06 09:54:14,053-6667788,יעל - הזמנת שולחן,494,incoming
2026-01-06 09:59:24,050-8889900,תמר - שאלה על אלרגיות,400,incoming
2026-01-06 13:38:16,053-6667788,יעל - הזמנת שולחן,0,missed
2026-01-06 17:12:45,050-2223344,שירה לקוחה קבועה,326,outgoing
2026-01-07 08:51:20,050-1234567,ירון - מאפיית הבוקר,350,outgoing
2026-01-07 10:16:08,050-4445566,רוני - ניקיון פרו,194,incoming
2026-01-07 10:23:22,052-9876543,אלי - ירקות שוק,409,incoming
2026-01-07 10:32:31,050-1234567,ירון - מאפיית הבוקר,138,outgoing
2026-01-07 12:59:40,077-1234500,ביטוח לאומי,264,incoming
2026-01-07 18:04:38,03-9998877,רואה חשבון - אורן,418,outgoing
2026-01-07 19:20:13,058-2223399,,0,missed
2026-01-07 19:37:27,055-3334411,,0,missed
2026-01-08 12:49:41,050-1234567,ירון - מאפיית הבוקר,475,incoming
2026-01-08 16:16:35,050-2223344,שירה לקוחה קבועה,0,missed
2026-01-08 18:27:38,053-6667788,יעל - הזמנת שולחן,509,outgoing
2026-01-09 08:07:59,055-3334411,,0,missed
2026-01-09 09:55:40,055-3334411,,0,missed
2026-01-09 15:00:46,050-4445566,רוני - ניקיון פרו,549,outgoing
2026-01-09 16:49:59,050-8889900,תמר - שאלה על אלרגיות,530,incoming
2026-01-09 18:32:38,03-9998877,רואה חשבון - אורן,195,incoming
2026-01-11 10:16:33,050-1112299,,40,incoming
2026-01-11 11:03:15,050-2223344,שירה לקוחה קבועה,100,outgoing
2026-01-11 16:49:08,1700-700700,בנק הפועלים,0,missed
2026-01-11 19:19:25,053-1112233,טלי - קפה תל אביב,0,missed
2026-01-12 09:06:42,053-1112233,טלי - קפה תל אביב,299,outgoing
2026-01-12 09:15:12,053-1112233,טלי - קפה תל אביב,276,outgoing
2026-01-12 09:15:14,050-1234567,ירון - מאפיית הבוקר,343,incoming
2026-01-12 10:17:29,050-1234567,ירון - מאפיית הבוקר,473,outgoing
2026-01-12 11:04:57,052-9876543,אלי - ירקות שוק,323,outgoing
2026-01-12 11:17:42,050-4445566,רוני - ניקיון פרו,430,outgoing
2026-01-12 11:37:14,054-7778899,דוד - תיקון מזגנים,90,incoming
2026-01-12 17:36:30,053-1112233,טלי - קפה תל אביב,157,outgoing
2026-01-12 19:03:43,050-2223344,שירה לקוחה קבועה,377,outgoing
2026-01-13 08:41:34,050-2223344,שירה לקוחה קבועה,200,outgoing
2026-01-13 14:31:30,1700-700700,בנק הפועלים,198,incoming
2026-01-14 08:24:16,055-3334411,,0,missed
2026-01-14 09:54:11,050-1234567,ירון - מאפיית הבוקר,180,incoming
2026-01-14 11:16:25,054-7778899,דוד - תיקון מזגנים,294,outgoing
2026-01-14 11:18:13,052-5556677,נועה - בירור תפריט,81,incoming
2026-01-14 13:59:48,053-6667788,יעל - הזמנת שולחן,0,missed
