timestamp,direction,contact_name,number,category,message
2026-01-01 15:54,incoming,ישראכרט,1230,bank,"עסקה אושרה: 1,890 ש״ח - חלב טרי בעמ"
2026-01-02 22:47,incoming,יעל,053-6667788,customer,"תודה על האירוע אמש, היה מושלם!"
2026-01-05 12:16,incoming,פועלים,5500,bank,זיכוי בחשבונך: 1240 ש״ח - העברה מ-Cardcom
2026-01-06 08:50,incoming,שירה,050-2223344,customer,אהבתי את הקפה החדש! מה השם שלו?
2026-01-06 17:10,incoming,Cardcom,מערכת,marketing,"סוף יום: 87 עסקאות, סה״כ 6,420 ש״ח"
2026-01-08 08:30,incoming,נועה,052-5556677,customer,יש לכם משהו טבעוני בלי גלוטן?
2026-01-08 09:47,outgoing,אטומי קפה,,us,"נועה, יש לנו אצות וסלט קינואה. בלי גלוטן וטבעוני"
2026-01-10 08:23,incoming,טלי קפה,053-1112233,supplier,פולים חדשים אתיופיה הגיעו! רוצה לטעום?
2026-01-11 20:01,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-01-13 09:17,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-01-14 17:04,incoming,שירה,050-2223344,customer,אהבתי את הקפה החדש! מה השם שלו?
2026-01-17 22:28,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-01-19 16:29,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-01-20 09:39,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-01-20 17:36,incoming,יעל,053-6667788,customer,"תודה על האירוע אמש, היה מושלם!"
2026-01-22 16:35,incoming,נועה,052-5556677,customer,יש לכם משהו טבעוני בלי גלוטן?
2026-01-24 20:06,incoming,בזק,199,utility,החבילה שלך שודרגה ל-Gigabit החל מ-01/01/2026
2026-01-25 19:18,incoming,אלי ירקות,052-9876543,supplier,"אין עגבניות שרי היום, אביא רגילות, אוקיי?"
2026-01-27 17:45,incoming,פועלים,5500,bank,"מאזן יומי: 18,420 ש״ח"
2026-01-28 14:27,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-01-29 07:08,incoming,פועלים,5500,bank,חויב כרטיסך ב-450 ש״ח - ניקיון פרו בעמ
2026-01-29 16:43,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-01-30 13:27,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-01-30 13:57,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-02-02 20:33,incoming,מקס,2025,bank,עסקה חדשה: 89 ש״ח - מאפיית הבוקר
2026-02-03 15:51,incoming,ירון מאפייה,050-1234567,supplier,"אביץ בוקר טוב, הלחמניות יוצאות ב-6:30, מגיעות אליך 7:00"
2026-02-06 18:19,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
2026-02-07 14:06,incoming,ישראכרט,1230,bank,"עסקה אושרה: 1,890 ש״ח - חלב טרי בעמ"
2026-02-08 17:05,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-02-09 09:11,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-02-09 12:48,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-02-10 18:23,incoming,טלי קפה,053-1112233,supplier,פולים חדשים אתיופיה הגיעו! רוצה לטעום?
2026-02-13 09:32,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
2026-02-14 11:24,incoming,ביטוח לאומי,2902,gov,תזכורת: דמי ביטוח לתשלום עד 15.05.2026
2026-02-16 11:36,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-02-22 09:53,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-02-25 19:26,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-02-26 08:46,incoming,Cardcom,מערכת,marketing,"סוף יום: 87 עסקאות, סה״כ 6,420 ש״ח"
2026-02-28 18:04,incoming,נועה,052-5556677,customer,יש לכם משהו טבעוני בלי גלוטן?
2026-02-28 20:21,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-03-01 17:49,incoming,ישראכרט,1230,bank,"עסקה אושרה: 1,890 ש״ח - חלב טרי בעמ"
2026-03-04 11:50,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-03-07 13:11,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-03-07 16:20,incoming,מקס,2025,bank,עסקה חדשה: 89 ש״ח - מאפיית הבוקר
2026-03-07 18:09,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-03-10 07:11,incoming,אלי ירקות,052-9876543,supplier,"אין עגבניות שרי היום, אביא רגילות, אוקיי?"
2026-03-12 08:22,outgoing,אטומי קפה,,us,"נועה, יש לנו אצות וסלט קינואה. בלי גלוטן וטבעוני"
2026-03-12 17:24,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-03-13 14:51,incoming,יעל,053-6667788,customer,"תודה על האירוע אמש, היה מושלם!"
2026-03-19 13:49,incoming,ישראכרט,1230,bank,"עסקה אושרה: 1,890 ש״ח - חלב טרי בעמ"
2026-03-21 17:22,incoming,פועלים,5500,bank,חויב כרטיסך ב-450 ש״ח - ניקיון פרו בעמ
2026-03-21 18:06,incoming,מס הכנסה,4954,gov,"החזר מס בסך 1,240 ש״ח אושר"
2026-03-22 11:28,incoming,פועלים,5500,bank,"מאזן יומי: 18,420 ש״ח"
2026-03-22 20:20,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-03-24 11:04,incoming,ישראכרט,1230,bank,"עסקה אושרה: 1,890 ש״ח - חלב טרי בעמ"
2026-03-25 09:56,incoming,פועלים,5500,bank,זיכוי בחשבונך: 1240 ש״ח - העברה מ-Cardcom
2026-03-26 11:42,incoming,חברת חשמל,103,utility,"התשלום התקבל, תודה"
2026-03-28 14:21,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-03-29 12:23,incoming,טלי קפה,053-1112233,supplier,פולים חדשים אתיופיה הגיעו! רוצה לטעום?
2026-03-31 18:07,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-03-31 18:46,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
2026-04-02 14:37,incoming,שירה,050-2223344,customer,אהבתי את הקפה החדש! מה השם שלו?
2026-04-03 10:28,outgoing,אטומי קפה,,us,"נועה, יש לנו אצות וסלט קינואה. בלי גלוטן וטבעוני"
2026-04-06 11:35,incoming,פועלים,5500,bank,זיכוי בחשבונך: 1240 ש״ח - העברה מ-Cardcom
2026-04-10 20:49,incoming,שירה,050-2223344,customer,אהבתי את הקפה החדש! מה השם שלו?
2026-04-11 11:38,incoming,חברת חשמל,103,utility,"התשלום התקבל, תודה"
2026-04-12 08:00,incoming,ירון מאפייה,050-1234567,supplier,"לא הצלחתי להגיע עכשיו, אביא כפול מחר"
2026-04-13 09:09,incoming,בזק,199,utility,החבילה שלך שודרגה ל-Gigabit החל מ-01/01/2026
2026-04-13 09:25,incoming,טלי קפה,053-1112233,supplier,פולים חדשים אתיופיה הגיעו! רוצה לטעום?
2026-04-13 20:46,incoming,מקס,2025,bank,עסקה חדשה: 89 ש״ח - מאפיית הבוקר
2026-04-16 18:55,incoming,חברת חשמל,103,utility,חשבון חדש לתשלום: 4499.34 ש״ח עד 15.11
2026-04-17 15:13,incoming,Tabit,מערכת,marketing,12 הזמנות חדשות התקבלו בשעה האחרונה
2026-04-17 16:07,incoming,נועה,052-5556677,customer,יש לכם משהו טבעוני בלי גלוטן?
2026-04-19 08:18,incoming,עיריה,106,gov,ארנונה לתקופה 03-04/2026 - 1940 ש״ח
2026-04-19 22:38,outgoing,אטומי קפה,,us,"בוקר טוב שירה, השם הוא 'יסוד אתיופי' - בא ממחוז יירגצ'פה"
2026-04-20 10:31,incoming,חברת חשמל,103,utility,"התשלום התקבל, תודה"
2026-04-21 10:50,incoming,חברת חשמל,103,utility,"התשלום התקבל, תודה"
2026-04-23 21:33,outgoing,אטומי קפה,,us,"נועה, יש לנו אצות וסלט קינואה. בלי גלוטן וטבעוני"
2026-04-24 09:57,incoming,פועלים,5500,bank,"מאזן יומי: 18,420 ש״ח"
2026-04-25 17:55,incoming,ישראל פוסט,171,delivery,חבילה ממתינה לאיסוף - סניף בן יהודה
2026-04-28 18:05,incoming,יעל,053-6667788,customer,"תודה על האירוע אמש, היה מושלם!"
