timestamp,from_number,from_name,transcript,status
2026-01-08 09:14,050-2223344,שירה לקוחה,תזכרי שאני מגיעה ב-12,replied
2026-01-12 18:30,054-3334455,אורי אירוע,צריך לדבר על האירוע,replied
2026-01-15 07:45,058-7654321,לא ידוע,"שלום זה דניאל, צריך",ignored
2026-01-19 11:20,050-1234567,ירון מאפייה,אין לחמניות מחר,replied
2026-01-22 16:00,03-5551234,עירייה רישוי,בקשה לעדכון רישיון,replied
2026-01-27 08:30,055-3334411,לא ידוע,הצעת ביטוח חדשה,ignored
2026-02-02 19:45,054-7778899,דוד טכנאי,אגיע מחר ב-10,replied
2026-02-09 07:15,052-9876543,אלי ירקות,אין עגבניות שרי,replied
2026-02-13 10:00,058-2223399,לא ידוע,מבצע פרסום בגוגל,ignored
2026-02-16 14:20,050-9991122,שמואל בעה״ב,צריך לדבר על השכירות,replied
2026-02-23 09:00,077-1234500,ביטוח לאומי,חוב לתשלום,replied
2026-03-02 18:00,054-7654321,מירי חלב,המשלוח מתעכב מחר,replied
2026-03-09 11:30,058-2223399,לא ידוע,השקעה מעולה בקריפטו,ignored
2026-03-12 06:45,050-1119999,מוטי אינסטלטור,מגיע בעוד חצי שעה,replied
2026-03-15 20:10,050-2223344,שירה לקוחה,השארתי משקפיים אצלכם,replied
2026-03-18 10:30,03-9998877,אורן רוח,צריך מסמכים לדוח רבעוני,replied
2026-03-23 15:45,050-1112299,לא ידוע,הצעת חופשה במלון,ignored
2026-04-01 07:30,050-1234567,ירון מאפייה,חופש לפסח עד 14.04,replied
2026-04-06 12:00,050-9991122,שמואל בעה״ב,חידוש חוזה שכירות,replied
2026-04-10 09:30,058-7654321,לא ידוע,שלום שלום שלום,missed
2026-04-15 17:00,054-3334455,אורי אירוע,תודה על האירוע!,replied
2026-04-22 11:45,050-4445566,רוני ניקיון,"חולה היום, אגיע מחר",replied
2026-04-28 08:15,055-3334411,לא ידוע,סקר שביעות רצון,ignored
2026-05-04 14:00,053-1112233,טלי קפה,פולים חדשים הגיעו!,replied
2026-05-08 07:20,058-2223399,לא ידוע,הלוואה ב-2 אחוז,ignored
2026-05-11 19:30,054-7778899,דוד טכנאי,המקרר זקוק לשירות,replied
2026-05-15 10:00,050-2223344,שירה לקוחה,מתי הקפה החדש חוזר?,replied
2026-05-20 16:30,03-5551234,עירייה רישוי,ביקור פיקוח השבוע,replied
2026-05-25 09:00,052-5556677,נועה לקוחה,שאלה על תפריט אלרגנים,replied
2026-05-27 18:45,058-7654321,לא ידוע,מבצע אנרגיה ירוקה,ignored
