date,customer,discount_type,amount,reason,employee
2026-01-04,רותי,5%,1.0,מבצע בוקר,נועה
2026-01-06,ליאת,חינם,22,ספל ראשון על הבית,דני
2026-01-07,ענת,חינם,16,תיקון תלונה,דני
2026-01-08,עומר,10%,3.2,חבר/משפחה,נועה
2026-01-11,גילי,25%,10.5,סטודנט - מבצע,דני
2026-01-12,דנה,חינם,18,ספל ראשון על הבית,דני
2026-01-13,דנה,20%,7.2,יום הולדת,מיכל
2026-01-13,דנה,50%,21.0,מבצע סוף יום,נועה
2026-01-19,חיים מהבנק,20%,4.8,יום הולדת,נועה
2026-01-19,חיים מהבנק,15%,3.6,לקוח קבוע פלוס,מיכל
2026-01-23,רותי,25%,5.0,סטודנט - מבצע,נועה
2026-01-25,הלקוח החדש,חינם,18,תיקון תלונה,טל
2026-01-28,אסף,20%,4.4,יום הולדת,טל
2026-01-29,אנונימי,50%,16.0,מבצע סוף יום,מיכל
2026-02-01,טליה,חינם,16,תיקון תלונה,נועה
2026-02-01,חברה של נועה,חינם,14,תיקון תלונה,נועה
2026-02-06,טליה,חינם,18,מאפה תפוג,מיכל
2026-02-08,רן,50%,16.0,מבצע סוף יום,נועה
2026-02-10,אורי,חינם,12,ספל ראשון על הבית,נועה
2026-02-11,עומר,50%,12.0,מבצע סוף יום,נועה
2026-02-17,חיים מהבנק,10%,3.2,חבר/משפחה,מיכל
2026-02-18,מירי,חינם,18,מאפה תפוג,טל
2026-02-22,חיים מהבנק,5%,1.3,מבצע בוקר,נועה
2026-02-22,עומר,20%,7.2,יום הולדת,נועה
2026-02-25,יוסי הקבוע,25%,10.5,סטודנט - מבצע,טל
2026-03-01,אבי המורה,20%,8.4,יום הולדת,נועה
2026-03-03,דנה,10%,4.2,לקוח קבוע,נועה
2026-03-05,טליה,10%,2.0,לקוח קבוע,נועה
2026-03-06,אורח,5%,0.9,מבצע בוקר,נועה
2026-03-08,אילן,10%,2.0,לקוח קבוע,דני
2026-03-08,מירי,25%,5.0,סטודנט - מבצע,נועה
2026-03-10,אילן,10%,2.4,חבר/משפחה,נועה
2026-03-13,ענת,חינם,16,תיקון תלונה,נועה
2026-03-15,ענת,חינם,12,ספל ראשון על הבית,נועה
2026-03-15,שלומי,20%,4.0,יום הולדת,נועה
2026-03-18,נועם הצעיר,5%,2.1,מבצע בוקר,מיכל
2026-03-18,הלקוח החדש,חינם,16,תיקון תלונה,מיכל
2026-03-19,אורי,10%,1.8,לקוח קבוע,נועה
2026-03-20,מעיין,חינם,20,תיקון תלונה,נועה
2026-03-22,מירי,25%,8.0,סטודנט - מבצע,נועה
2026-03-22,אבא של דני,5%,1.3,מבצע בוקר,דני
2026-03-23,אורח,20%,7.2,יום הולדת,נועה
2026-03-23,גילי,10%,3.6,לקוח קבוע,טל
2026-03-26,שלומי,20%,7.2,יום הולדת,מיכל
2026-03-27,גילי,5%,0.9,מבצע בוקר,דני
2026-03-29,נועם הצעיר,10%,3.6,חבר/משפחה,מיכל
2026-04-05,אסף,חינם,20,ספל ראשון על הבית,טל
2026-04-08,שירה,חינם,22,תיקון תלונה,דני
2026-04-12,אבא של דני,5%,2.1,מבצע בוקר,טל
2026-04-20,חברה של נועה,25%,6.5,סטודנט - מבצע,דני
2026-04-22,יוסי הקבוע,חינם,22,תיקון תלונה,דני
2026-04-28,ליאת,חינם,22,מאפה תפוג,מיכל
2026-04-28,יוסי הקבוע,50%,18.0,מבצע סוף יום,נועה
2026-04-30,עומר,25%,8.0,סטודנט - מבצע,נועה
2026-05-01,דנה,חינם,22,ספל ראשון על הבית,נועה
2026-05-04,ארנון,15%,3.3,לקוח קבוע פלוס,נועה
2026-05-05,אבי המורה,חינם,18,מאפה תפוג,נועה
2026-05-05,אבא של דני,10%,2.4,חבר/משפחה,דני
2026-05-06,חברה של נועה,חינם,20,תיקון תלונה,נועה
2026-05-12,חברה של נועה,25%,10.5,סטודנט - מבצע,נועה
2026-05-12,שירה,חינם,22,ספל ראשון על הבית,נועה
2026-05-13,אילן,10%,2.6,חבר/משפחה,נועה
2026-05-14,אנונימי,חינם,18,מאפה תפוג,מיכל
2026-05-14,טליה,10%,1.8,חבר/משפחה,מיכל
2026-05-15,שלומי,20%,6.4,יום הולדת,נועה
2026-05-15,רן,חינם,12,תיקון תלונה,דני
2026-05-17,אורח,10%,2.0,חבר/משפחה,דני
2026-05-18,אבי המורה,25%,9.0,סטודנט - מבצע,דני
2026-05-19,רותי,5%,1.2,מבצע בוקר,דני
2026-05-21,אנונימי,חינם,20,ספל ראשון על הבית,טל
2026-05-21,נועם הצעיר,20%,4.4,יום הולדת,מיכל
2026-05-22,אסף,10%,2.0,לקוח קבוע,טל
2026-05-22,שירה,20%,6.4,יום הולדת,דני
2026-05-24,ליאת,50%,18.0,מבצע סוף יום,דני
2026-05-24,הלקוח החדש,20%,7.2,יום הולדת,טל
2026-05-24,אבי המורה,חינם,18,מאפה תפוג,נועה
2026-05-24,אבא של דני,10%,2.4,חבר/משפחה,נועה
2026-05-24,ענת,חינם,14,מאפה תפוג,נועה
2026-05-28,ארנון,חינם,18,ספל ראשון על הבית,דני
2026-05-28,אורח,10%,4.2,לקוח קבוע,מיכל
