date,total_tips,cash_tips,card_tips,distribution_method,per_employee_breakdown
2026-01-04,167.34,70.95,96.39,שווה,נועה:₪55.78 | מיכל:₪55.78 | דני:₪55.78
2026-01-05,319.74,97.49,222.25,לפי שעות,נועה:₪116.27 | דני:₪116.27 | טל:₪87.2
2026-01-06,312.71,82.87,229.84,לפי שעות,נועה:₪156.35 | דני:₪156.35
2026-01-07,230.86,94.7,136.16,לפי שעות,נועה:₪131.92 | טל:₪98.94
2026-01-08,313.39,87.3,226.09,לפי שעות,נועה:₪156.69 | מיכל:₪156.69
2026-01-09,390.67,100.39,290.28,שווה,מיכל:₪195.34 | דני:₪195.34
2026-01-11,260.09,84.08,176.01,שווה,נועה:₪86.7 | מיכל:₪86.7 | דני:₪86.7
2026-01-12,259.41,96.25,163.16,לפי שעות,נועה:₪94.33 | דני:₪94.33 | טל:₪70.75
2026-01-13,312.84,101.49,211.35,לפי שעות,נועה:₪156.42 | דני:₪156.42
2026-01-14,260.35,92.66,167.69,שווה,נועה:₪130.18 | טל:₪130.18
2026-01-15,270.94,81.26,189.68,שווה,נועה:₪135.47 | מיכל:₪135.47
2026-01-16,382.04,133.64,248.4,שווה,מיכל:₪191.02 | דני:₪191.02
2026-01-18,232.77,70.38,162.39,שווה,נועה:₪77.59 | מיכל:₪77.59 | דני:₪77.59
2026-01-19,242.48,108.94,133.54,שווה,נועה:₪80.83 | דני:₪80.83 | טל:₪80.83
2026-01-20,308.31,107.37,200.94,שווה,נועה:₪154.16 | דני:₪154.16
2026-01-21,299.4,101.92,197.48,לפי שעות,נועה:₪171.09 | טל:₪128.31
2026-01-22,242.32,64.83,177.49,לפי שעות,נועה:₪121.16 | מיכל:₪121.16
2026-01-23,402.8,126.45,276.35,שווה,מיכל:₪201.4 | דני:₪201.4
2026-01-25,170.18,61.0,109.18,לפי שעות,נועה:₪56.73 | מיכל:₪56.73 | דני:₪56.73
2026-01-26,299.19,117.39,181.8,לפי שעות,נועה:₪108.8 | דני:₪108.8 | טל:₪81.6
2026-01-27,269.28,110.07,159.21,שווה,נועה:₪134.64 | דני:₪134.64
2026-01-28,196.99,57.17,139.82,שווה,נועה:₪98.5 | טל:₪98.5
2026-01-29,290.65,74.19,216.46,שווה,נועה:₪145.32 | מיכל:₪145.32
2026-01-30,312.72,128.44,184.28,שווה,מיכל:₪156.36 | דני:₪156.36
2026-02-01,239.11,63.9,175.21,שווה,נועה:₪79.7 | מיכל:₪79.7 | דני:₪79.7
2026-02-02,319.94,125.98,193.96,שווה,נועה:₪106.65 | דני:₪106.65 | טל:₪106.65
2026-02-03,287.68,119.29,168.39,שווה,נועה:₪143.84 | דני:₪143.84
2026-02-04,316.13,119.64,196.49,שווה,נועה:₪158.06 | טל:₪158.06
2026-02-05,275.22,87.77,187.45,לפי שעות,נועה:₪137.61 | מיכל:₪137.61
2026-02-06,390.47,147.58,242.89,שווה,מיכל:₪195.24 | דני:₪195.24
2026-02-08,283.75,95.49,188.26,לפי שעות,נועה:₪94.58 | מיכל:₪94.58 | דני:₪94.58
2026-02-09,187.76,51.6,136.16,שווה,נועה:₪62.59 | דני:₪62.59 | טל:₪62.59
2026-02-10,203.05,63.87,139.18,לפי שעות,נועה:₪101.53 | דני:₪101.53
2026-02-11,228.44,100.1,128.34,לפי שעות,נועה:₪130.54 | טל:₪97.9
2026-02-12,298.43,89.57,208.86,לפי שעות,נועה:₪149.22 | מיכל:₪149.22
2026-02-13,347.11,95.47,251.64,שווה,מיכל:₪173.56 | דני:₪173.56
2026-02-15,229.22,80.34,148.88,שווה,נועה:₪76.41 | מיכל:₪76.41 | דני:₪76.41
2026-02-16,311.82,87.57,224.25,לפי שעות,נועה:₪113.39 | דני:₪113.39 | טל:₪85.04
2026-02-17,280.89,104.22,176.67,לפי שעות,נועה:₪140.44 | דני:₪140.44
2026-02-18,258.91,107.46,151.45,שווה,נועה:₪129.46 | טל:₪129.46
2026-02-19,186.36,70.5,115.86,שווה,נועה:₪93.18 | מיכל:₪93.18
2026-02-20,366.06,147.67,218.39,שווה,מיכל:₪183.03 | דני:₪183.03
2026-02-22,242.51,84.78,157.73,לפי שעות,נועה:₪80.84 | מיכל:₪80.84 | דני:₪80.84
2026-02-23,220.55,97.34,123.21,שווה,נועה:₪73.52 | דני:₪73.52 | טל:₪73.52
2026-02-24,292.66,113.26,179.4,שווה,נועה:₪146.33 | דני:₪146.33
2026-02-25,190.22,49.83,140.39,שווה,נועה:₪95.11 | טל:₪95.11
2026-02-26,247.8,72.06,175.74,לפי שעות,נועה:₪123.9 | מיכל:₪123.9
2026-02-27,302.08,118.92,183.16,לפי שעות,מיכל:₪151.04 | דני:₪151.04
2026-03-01,270.46,120.37,150.09,שווה,נועה:₪90.15 | מיכל:₪90.15 | דני:₪90.15
2026-03-02,231.88,84.02,147.86,שווה,נועה:₪77.29 | דני:₪77.29 | טל:₪77.29
2026-03-03,245.31,74.45,170.86,שווה,נועה:₪122.66 | דני:₪122.66
2026-03-04,193.55,59.62,133.93,שווה,נועה:₪96.78 | טל:₪96.78
